ID,food_type,desc_text,cleaned
9935982,b,Smoothie,['smoothie']
5513603,f,Cereal,['cereal']
2919852,w,Water,['water']
2811701,f,Breakfast Sandwich,['breakfast sandwich']
1302935,w,Water,['water']
5839902,f,Peanuts,['peanut']
9710353,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
9911040,w,Water,['water']
6197362,f,Beef Taquitos W Rice,"['beef', 'w', 'rice']"
9599758,f,Cereal,['cereal']
3554890,w,Water,['water']
8526260,f,Breakfast Burrito,['breakfast burrito']
8085444,w,Water,['water']
385520,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
9980964,w,Water,['water']
9035267,f,Carne Asada Rice Beans,"['carne asada', 'rice bean']"
8069217,f,Oatmeal,['oatmeal']
8939935,f,Breakfast Burrito,['breakfast burrito']
9876168,w,Water,['water']
167411,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
5723992,w,Water,['water']
1286222,w,Water,['water']
1564512,f,Oatmeal,['oatmeal']
2679667,f,Egg W Rice,"['egg', 'w', 'rice']"
9806872,w,Water,['water']
2509029,f,Potatoe Salad,"['potatoe', 'salad']"
3534146,f,Potatoe Salad,"['potatoe', 'salad']"
5193899,w,Water,['water']
4754339,f,Pretzels,['pretzel']
3549208,f,Chicken Wings N Salad,"['chicken wing', 'n', 'salad']"
3442534,w,Water,['water']
4150608,f,Oatmeal,['oatmeal']
3629071,f,Breakfast Sandwich,['breakfast sandwich']
1229078,w,Water,['water']
3479949,f,2 Cookies,['cooky']
5091413,w,Water,['water']
1932391,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
31437,f,Fish Tacos Rice N Beans,"['fish taco', 'rice', 'n', 'bean']"
6318341,f,Oatmeal,['oatmeal']
4390393,f,Breakfast Burrito,['breakfast burrito']
9305038,w,Water,['water']
2490171,f,Popcorn,['popcorn']
7122108,f,Potatoe Salad,"['potatoe', 'salad']"
2515967,w,Water,['water']
6682247,f,Pizza N Chicken,"['pizza', 'n', 'chicken']"
2704796,w,Water,['water']
1556563,f,Oatmeal,['oatmeal']
8936456,w,Water,['water']
1874285,f,Eggs And Beacon,"['egg', 'beacon']"
6422383,f,2 Cookies,['cooky']
9789621,w,Water,['water']
5961976,f,2 Slices Of Pizza,"['slice', 'pizza']"
4324064,w,Water,['water']
5044635,f,Meatball Soup,"['meatball', 'soup']"
7091926,f,Oatmeal,['oatmeal']
1812186,f,Eggs And Beacon,"['egg', 'beacon']"
6664225,w,Water,['water']
3325630,f,2 Cookies,['cooky']
4233827,f,Orange Slices,"['orange', 'slice']"
288715,f,Meatball Soup,"['meatball', 'soup']"
1677724,w,Water,['water']
1345830,w,Water,['water']
4167611,f,Oatmeal,['oatmeal']
645626,f,Honey Nut Cheerios,['honey nut cheerio']
2796358,w,Water,['water']
6967719,f,Soupitas,[]
1830686,w,Water,['water']
4153226,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
956883,f,Turkey Avocado Sandwich,['turkey avocado sandwich']
6676926,f,Oatmeal,['oatmeal']
5506587,f,Eggs And Beacon,"['egg', 'beacon']"
3332846,w,Water,['water']
5250381,f,Sandwich N Chips,"['sandwich', 'n', 'chip']"
2487883,w,Water,['water']
8056092,f,2 Cookies,['cooky']
1576803,f,Shredded Beef N Veggie,"['shredded', 'beef', 'n', 'veggie']"
1503381,w,Water,['water']
5878637,f,Oatmeal,['oatmeal']
5525817,f,Chorizo Egg N Beans,"['chorizo', 'egg', 'n', 'bean']"
4116785,w,Water,['water']
4786897,f,Pretzels,['pretzel']
8132510,w,Water,['water']
503113,f,Oatmeal,['oatmeal']
189088,w,Water,['water']
4195476,f,Steak N Eggs,"['steak', 'n', 'egg']"
2373666,f,Orange Slices,"['orange', 'slice']"
1469165,w,Water,['water']
574512,f,Turkey Avocado Sandwich,['turkey avocado sandwich']
2047663,f,Oatmeal,['oatmeal']
1642328,w,Water,['water']
3816371,f,Steak N Eggs,"['steak', 'n', 'egg']"
5304322,w,Water,['water']
6272635,f,Pretzels,['pretzel']
3390174,f,Garden Salad Pizza,"['garden salad', 'pizza']"
3555009,f,Oatmeal,['oatmeal']
6512244,f,Eggs And Beacon,"['egg', 'beacon']"
4796472,w,Water,['water']
4717078,w,Water,['water']
2733707,f,Quesadilla,['quesadilla']
5215012,w,Water,['water']
608138,f,Chicken Mushroom W Rice,"['chicken', 'mushroom', 'w', 'rice']"
8391501,f,Oatmeal,['oatmeal']
6273814,w,Water,['water']
5473784,f,Soupitas,[]
7967620,w,Water,['water']
1861129,f,Turkey Avocado Sandwich,['turkey avocado sandwich']
9585918,f,Oatmeal,['oatmeal']
5130110,f,Eggs And Beacon,"['egg', 'beacon']"
7907577,w,Water,['water']
8456809,w,Water,['water']
1351157,f,Pretzels,['pretzel']
3330516,f,Chicken Spaghetti N Veggies,"['chicken', 'spaghetti', 'n', 'veggie']"
6854135,f,Oatmeal,['oatmeal']
5282851,f,Eggs And Beacon,"['egg', 'beacon']"
7105988,w,Water,['water']
7509434,w,Water,['water']
2946410,f,Cheese Burger N Fries,"['cheese burger', 'n', 'fry']"
3387938,f,Chile Con Queso N Beans,"['chile', 'queso', 'n', 'bean']"
6496725,w,Water,['water']
7017866,f,Oatmeal,['oatmeal']
5107018,f,Chorizo Egg N Beans,"['chorizo', 'egg', 'n', 'bean']"
4235079,w,Water,['water']
9117340,f,Chicken Mushroom W Rice,"['chicken', 'mushroom', 'w', 'rice']"
7048501,f,Mushroom Burger W Fries,"['mushroom', 'burger', 'w', 'fry']"
6281830,f,Oatmeal,['oatmeal']
1648284,f,Breakfast Sandwich,['breakfast sandwich']
8037772,w,Water,['water']
1592081,f,Half Of Cheese Burger,"['cheese burger', 'half']"
9340411,f,Carne Asada Rice Beans,"['carne asada', 'rice bean']"
8766536,w,Water,['water']
6847950,f,Cereal,['cereal']
1879392,f,Toast,['toast']
2892421,b,Coffee,['coffee']
5065161,w,Water,['water']
752921,w,Water,['water']
5067847,f,Hawaii Bbq,['bbq']
8856801,f,Tacos Carne Asada,"['carne asada', 'taco']"
1807132,f,Cereal,['cereal']
784813,f,Soupitas,[]
5079397,f,Sandwich N Chips,"['sandwich', 'n', 'chip']"
6251257,f,Chicken Ceasar Salad,"['chicken', 'salad']"
3529451,w,Water,['water']
9376394,f,Cereal,['cereal']
9239777,f,Breakfast Burrito,['breakfast burrito']
6001658,w,Water,['water']
1487621,w,Water,['water']
6184795,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
177065,f,Milanessa Mash Potatoes,['mash potato']
5228161,w,Water,['water']
9400255,f,Cereal,['cereal']
4343569,f,Steak N Eggs,"['steak', 'n', 'egg']"
7211396,w,Water,['water']
1475998,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
4071432,f,2 Beef Ribs,"['beef', 'rib']"
4922438,w,Water,['water']
9844222,f,Turkey Avocado Sandwich,['turkey avocado sandwich']
6638517,w,Water,['water']
8410001,f,Cereal,['cereal']
9009705,w,Water,['water']
8721550,f,Breakfast Burrito,['breakfast burrito']
2127337,w,Water,['water']
3049372,f,Turkey Avocado Sandwich,['turkey avocado sandwich']
9743575,w,Water,['water']
3682498,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
7720038,f,Turkey Avocado Sandwich,['turkey avocado sandwich']
1322548,f,Cereal,['cereal']
4110956,f,Oatmeal,['oatmeal']
9124190,w,Water,['water']
7923097,f,Banana,['banana']
8312214,f,Panda Express,['panda express']
615296,w,Water,['water']
8220228,f,Oatmeal,['oatmeal']
8562049,f,Chorizo Egg N Beans,"['chorizo', 'egg', 'n', 'bean']"
2967207,w,Water,['water']
7833256,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
4796374,f,Torts De Carnitas,"['de', 'carnitas']"
1347039,w,Water,['water']
5811705,w,Water,['water']
9753496,f,Oatmeal,['oatmeal']
9531037,f,Oatmeal,['oatmeal']
3092396,f,Veggie Omelette,"['veggie', 'omelette']"
3905052,w,Water,['water']
5625113,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
8550323,f,Pork Loin Veggies And Rice,"['pork loin', 'veggie', 'rice']"
7600540,f,Eggs N Quesadilla,"['egg', 'n', 'quesadilla']"
8711768,w,Water,['water']
1100422,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
7724934,w,Water,['water']
7710987,f,Bbq Pork Ribs N Veggies,"['pork rib', 'bbq', 'n', 'veggie']"
5698432,f,Ice Cream Cone,['ice cream cone']
7322035,f,Oatmeal,['oatmeal']
7420360,w,Water,['water']
9904300,f,Breakfast Burrito,['breakfast burrito']
3580749,w,Water,['water']
3148535,f,Teriyaki Chicken Bowl,"['teriyaki chicken', 'bowl']"
5962286,w,Water,['water']
