,ID,food_type,desc_text,cleaned
5131,7370645,b,Can Coke Zero,['coke zero']
5132,6524907,f,"Chicken Salad, C","['chicken salad', 'c']"
5133,2585294,w,Large Glass Water,"['large', 'glass', 'water']"
5134,735166,w,Large Glass Water,"['large', 'glass', 'water']"
5135,9612575,w,Large Glass Water,"['large', 'glass', 'water']"
5136,7684594,f,"Bolognese, Rice Noodles","['bolognese', 'rice noodle']"
5137,5458016,w,Large Glass Water,"['large', 'glass', 'water']"
5138,3108833,w,Large Glass Water,"['large', 'glass', 'water']"
5139,1948728,w,Water,['water']
5140,2054220,w,Large Glass Water,"['large', 'glass', 'water']"
5141,3661572,w,Large Glass Water,"['large', 'glass', 'water']"
5142,6273495,b,Glass Orange Juice,"['orange juice', 'glass']"
5143,4112038,w,Water,['water']
5144,9828765,w,Water,['water']
5145,5136689,w,Large Glass Water,"['large', 'glass', 'water']"
5146,9829676,w,Large Glass Water,"['large', 'glass', 'water']"
5147,821701,f,"2 Slices Homemade Banana, Gluten Free Bread","['slice', 'homemade', 'banana', 'gluten free bread']"
5148,8738535,w,Large Glass Water,"['large', 'glass', 'water']"
5149,4269668,f,"Slice Gluten Free Bread, Banana","['gluten free bread', 'slice', 'banana']"
5150,4570398,f,Tuna Salad,['tuna salad']
5151,5375864,f,Coleslaw,['coleslaw']
5152,4406907,w,"Large Glass Water, H","['large', 'glass', 'water', 'h']"
5153,7389289,w,Pint Water,['pint water']
5154,1631118,f,"Chicken Sweet And Sour, Mushrooms And Peppers Tomato, Rice Noodles","['sweet sour', 'chicken', 'mushroom', 'pepper', 'tomato', 'rice noodle']"
5155,2695273,w,Large Glass Water,"['large', 'glass', 'water']"
5156,5392209,w,Water,['water']
5157,4854580,w,Large Glass Water,"['large', 'glass', 'water']"
5158,1726441,w,Water,['water']
5159,5961266,b,Glass Orange Juice,"['orange juice', 'glass']"
5160,2690057,f,Kelloggs No Wheat Shapes,"['kellogg', 'no', 'wheat']"
5161,9392847,w,Water,['water']
5162,2338240,f,2 Slices Homemade Banana,"['slice', 'homemade', 'banana']"
5163,7926562,w,Water,['water']
5164,8024537,w,Large Glass Water,"['large', 'glass', 'water']"
5165,3622257,w,Large Glass Water,"['large', 'glass', 'water']"
5166,5206486,f,"Crab And Heirloom Tomato Salad, Portion Chips","['crab', 'heirloom', 'tomato', 'salad', 'chip']"
5167,9242674,w,Large Glass Water,"['large', 'glass', 'water']"
5168,4186186,w,Pint Water,['pint water']
5169,7538856,f,Choc Ice,['ice']
5170,941952,f,2 Milk Tray Chocolates,"['milk', 'tray', 'chocolate']"
5171,4011813,w,Water,['water']
5172,9100654,f,"Brinner, Sausages Tomato Peas Eggs","['sausage', 'tomato', 'pea', 'egg']"
5173,7647817,f,"Brinner, Sausages Tomato Peas Eggs","['sausage', 'tomato', 'pea', 'egg']"
5174,3330220,w,Water,['water']
5175,5048078,w,Water,['water']
5176,4936234,w,Pint Water,['pint water']
5177,4025324,f,Kelloggs No Wheat Shapes,"['kellogg', 'no', 'wheat']"
5178,659237,w,Large Glass Water,"['large', 'glass', 'water']"
5179,6722308,w,Large Glass Water,"['large', 'glass', 'water']"
5180,3913326,f,Raspberries,['raspberry']
5181,9828792,w,Pint Water,['pint water']
5182,1134712,f,1 Slice Homemade Banana Bread,"['banana bread', 'slice', 'homemade']"
5183,3305119,w,Pint Water,['pint water']
5184,9817050,f,Banana,['banana']
5185,8643591,b,Mug Of Tea,"['mug', 'tea']"
5186,2368486,f,Bacon Avocado Salad,"['avocado salad', 'bacon']"
5187,6746800,w,Large Glass Water,"['large', 'glass', 'water']"
5188,9167999,w,Large Glass Water,"['large', 'glass', 'water']"
5189,71629,f,Slice Gluten Free Bread,"['gluten free bread', 'slice']"
5190,1294037,f,Banana,['banana']
5191,3150899,f,Marathon Bar,['bar']
5192,9081766,w,Liter Water Playing Golf,['liter water']
5193,9891611,w,Large Glass Water,"['large', 'glass', 'water']"
5194,6339193,f,Banana,['banana']
5195,4385767,w,Pint Water,['pint water']
5196,7689748,w,Pint Water,['pint water']
5197,2669560,w,Water,['water']
5198,5359940,f,Kelloggs No Wheat Shapes,"['kellogg', 'no', 'wheat']"
5199,8671611,w,Water,['water']
5200,7856079,w,Water,['water']
5201,9973443,w,Water,['water']
5202,7321751,f,Raspberries,['raspberry']
5203,9845163,w,Large Glass Water,"['large', 'glass', 'water']"
5204,5181840,f,Chicken Slices Tomato Coleslaw,"['chicken', 'slice', 'tomato', 'coleslaw']"
5205,2434282,w,Large Glass Water,"['large', 'glass', 'water']"
5206,6013435,w,Water,['water']
5207,3793218,f,"Small Tin Baked Beans, Mackerel Pate, Hot Chocolate Made With Water","['baked bean', 'small', 'mackerel', 'pate', 'hot chocolate', 'made', 'water']"
5208,9305155,f,Popadoms,[]
5209,5875841,f,"Chicken And Veg Jalfrezi, Rice","['chicken', 'veg', 'jalfrezi', 'rice']"
5210,3831952,w,Large Glass Water,"['large', 'glass', 'water']"
5211,2780706,w,Pint Water,['pint water']
5212,1266230,w,Water,['water']
5213,7688360,w,Large Glass Water,"['large', 'glass', 'water']"
5214,4544200,f,Kelloggs No Wheat Shapes,"['kellogg', 'no', 'wheat']"
5215,2381377,w,Large Glass Water,"['large', 'glass', 'water']"
5216,5658328,f,Small Bottle Diet Coke,"['diet coke', 'small', 'bottle']"
5217,89340,f,15 Liter Water Playing Golf,['liter water']
5218,7437727,f,"Banana, Almonds Half Mars Bar B, Playing Golf","['banana', 'almond', 'half', 'mar', 'bar', 'b']"
5219,7643111,f,Small Bottle Diet Coke,"['diet coke', 'small', 'bottle']"
5220,4178750,w,Large Glass Water,"['large', 'glass', 'water']"
5221,3586037,f,"Thai Red Curry, Rice","['thai', 'red', 'curry', 'rice']"
5222,4687959,w,Large Glass Water,"['large', 'glass', 'water']"
5223,9434832,w,Large Glass Water,"['large', 'glass', 'water']"
5224,5598277,w,Pint Water,['pint water']
5225,8112233,w,Large Glass Water,"['large', 'glass', 'water']"
5226,7452316,f,Kelloggs No Wheat Shapes,"['kellogg', 'no', 'wheat']"
5227,2410292,w,Large Glass Water,"['large', 'glass', 'water']"
5228,9913238,w,Large Glass Water,"['large', 'glass', 'water']"
5229,7596168,w,Large Glass Water,"['large', 'glass', 'water']"
5230,6805848,w,Large Glass Water,"['large', 'glass', 'water']"
5231,2975307,w,Large Glass Water,"['large', 'glass', 'water']"
5232,5881800,f,2 Milk Tray Chocolates,"['milk', 'tray', 'chocolate']"
5233,5549338,b,Can Coke Zero,['coke zero']
5234,6991864,f,"Chicken And Vegetable Stew, Portion Coleslaw, Bowl Chopped Fruit","['chicken', 'vegetable', 'stew', 'coleslaw', 'bowl', 'chopped', 'fruit']"
5235,4676918,w,Large Glass Water,"['large', 'glass', 'water']"
5236,305385,w,Large Glass Water,"['large', 'glass', 'water']"
5237,6490666,f,2 Milk Tray Chocolates,"['milk', 'tray', 'chocolate']"
5238,4205016,f,"Gluten Free Bun, Lettuce And Tomato, Gherkin, Homemade Smoked Mackerel Pate","['gluten free', 'bun', 'lettuce', 'tomato', 'homemade', 'smoked', 'mackerel', 'pate']"
5239,2892385,w,Pint Water,['pint water']
5240,5587577,w,Large Glass Water,"['large', 'glass', 'water']"
5241,1944304,w,Large Glass Water,"['large', 'glass', 'water']"
5242,9884369,w,Water,['water']
5243,1835786,w,Water,['water']
5244,4500693,w,Water,['water']
5245,8746394,w,Water,['water']
5246,3583993,b,Glass Orange Juice,"['orange juice', 'glass']"
5247,4759646,f,"Kelloggs No Wheat Shapes, Me","['kellogg', 'no', 'wheat']"
5248,2349378,w,Large Glass Water,"['large', 'glass', 'water']"
5249,4152939,w,Large Glass Water,"['large', 'glass', 'water']"
5250,7045243,f,2 Milk Tray Chocolates,"['milk', 'tray', 'chocolate']"
5251,9783459,w,Large Glass Water,"['large', 'glass', 'water']"
5252,9279277,b,Can Coke Zero,['coke zero']
5253,7601627,f,"Half Roast Chicken, Potatoes, Broccoli And Carrots","['roast chicken', 'half', 'potato', 'broccoli', 'carrot']"
5254,3956354,w,Large Glass Water,"['large', 'glass', 'water']"
5255,3093860,w,Large Glass Water,"['large', 'glass', 'water']"
5256,9443027,f,One Dumpling,"['one', 'dumpling']"
5257,3067733,f,Sausage Tomato Cheese Toastie,"['sausage', 'tomato', 'cheese']"
5258,1804389,w,Large Glass Water,"['large', 'glass', 'water']"
5259,3698273,w,Pint Water,['pint water']
5260,2717717,w,Pint Water,['pint water']
5261,4149296,w,Water,['water']
5262,9431282,w,Water,['water']
5263,4057926,w,Large Glass Water,"['large', 'glass', 'water']"
5264,568633,f,Kelloggs No Wheat Shapes,"['kellogg', 'no', 'wheat']"
5265,2492745,b,Glass Orange Juice,"['orange juice', 'glass']"
5266,5613129,f,Chicken Bacon Salad Cheese Avocado,"['chicken', 'bacon', 'salad', 'cheese', 'avocado']"
5267,2756389,f,500Ml Coke Zero,"['coke zero', 'ml']"
5268,2101881,f,Club Salad,['salad']
5269,453563,w,Pint Water,['pint water']
5270,981766,w,Large Glass Water,"['large', 'glass', 'water']"
5271,9568749,f,"2 Grilled Sausages, Coleslaw, Tomato, Half A Cantaloupe Melon","['grilled', 'sausage', 'coleslaw', 'tomato', 'half', 'cantaloupe', 'melon']"
5272,7610922,w,Large Glass Water,"['large', 'glass', 'water']"
5273,1214773,w,Pint Water,['pint water']
5274,6167610,w,Large Glass Water,"['large', 'glass', 'water']"
5275,6607719,b,Glass Orange Juice,"['orange juice', 'glass']"
5276,6101594,w,Water,['water']
5277,1386618,w,Large Glass Water,"['large', 'glass', 'water']"
5278,3843099,f,3 Milk Tray Chocolates,"['milk', 'tray', 'chocolate']"
5279,4724910,b,Can Coke Zero,['coke zero']
5280,3559136,f,"Chicken Salad, Coleslaw","['chicken salad', 'coleslaw']"
5281,4493721,w,Large Glass Water,"['large', 'glass', 'water']"
5282,5955847,w,Pint Water,['pint water']
5283,1783273,f,Carpaccio Parmesan,"['carpaccio', 'parmesan']"
5284,7329780,f,"Lamb Cutlets, Mediterranean Veg, Cherry Tomatoes","['lamb', 'veg', 'cherry tomato']"
5285,958071,w,Large Glass Water,"['large', 'glass', 'water']"
5286,3158684,w,Large Glass Water,"['large', 'glass', 'water']"
5287,8642763,w,Large Glass Water,"['large', 'glass', 'water']"
5288,27572,w,Large Glass Water,"['large', 'glass', 'water']"
5289,4424919,w,Large Glass Water,"['large', 'glass', 'water']"
5290,8645960,b,Glass Orange Juice,"['orange juice', 'glass']"
5291,452597,f,"Kelloggs No Wheat Shapes, Ke","['kellogg', 'no', 'wheat']"
5292,5020757,w,Large Glass Water,"['large', 'glass', 'water']"
5293,9794937,f,2 Milk Tray Chocolates,"['milk', 'tray', 'chocolate']"
5294,8514294,b,Bottle Diet Coke,"['diet coke', 'bottle']"
5295,1595222,f,"Small Camile Green Curry Chicken, Brown Rice","['curry chicken', 'small', 'green', 'brown rice']"
5296,1873794,w,Pint Water,['pint water']
5297,7997098,w,Pint Water,['pint water']
5298,9286630,b,Pint Low Cal Cider,"['low', 'cider']"
5299,8495286,b,Pint Low Cal Cider,"['low', 'cider']"
5300,6453426,f,"Bowl Porridge, Quarter Teaspoon Splenda, Half Punnet Blueberry","['bowl', 'porridge', 'quarter', 'teaspoon', 'splenda', 'half', 'blueberry']"
5301,4354135,w,Water,['water']
5302,742842,b,Medium Glass White Wine,"['white wine', 'medium', 'glass']"
5303,522741,b,Bottle Diet Coke,"['diet coke', 'bottle']"
5304,3748034,w,Pint Water,['pint water']
5305,8400103,b,Mug Of Tea,"['mug', 'tea']"
5306,3790323,f,Biscuit,['biscuit']
5307,4142251,w,Large Glass Water,"['large', 'glass', 'water']"
5308,2557048,f,99 Ice Cream,['ice cream']
5309,9825565,f,Prawn Jalfrezi And Rice,"['prawn', 'jalfrezi', 'rice']"
5310,5370113,b,Pint Low Cal Cider,"['low', 'cider']"
5311,3899760,b,Prosecco,['prosecco']
5312,6385963,b,Small Glass Red Wine,"['small glass', 'red wine']"
5313,6219994,b,Small Glass Red Wine,"['small glass', 'red wine']"
5314,3782518,w,Large Glass Water,"['large', 'glass', 'water']"
5315,1308475,f,"Slice Gluten Free Bread, Portion Coleslaw","['gluten free bread', 'slice', 'coleslaw']"
5316,5650355,w,Pint Water,['pint water']
