gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,equivalent,reference,comment
maple sirup,,maple syrup,maple syrup,b,2,other,syrup,maple,"added sugar, additive",,complete,2,,,
vinega,,vinegar,vinegar,b,1,other,vinegar,,,dressing,complete,2,,,
vinaigrett,,vinaigrette,vinaigrette,b,1,other,vinaigrette,,,dressing,complete,2,,,
fireball,fireball,whiskey,,b,1,alcohol,liquor,straight,,,complete,4,,,
viniger,,vinegar,vinegar,b,1,other,vinegar,,,dressing,complete,2,,,
lactaid,lactaid,lactose-free milk,,b,1,dairy ,milk,,saturated fat,,complete,1,,,
oatly,oatly,oat milk,,b,1,dairy alternative,oat,,,,complete,4,,,
sake,,fermented rice alcohol,,b,1,alcohol,liquor,straight,fermented,,complete,4,,,
tesco soya,tesco,soy milk,,b,2,dairy alternative,soy,,,,complete,4,,,
proteinshake,,protein shake,protein shake,b,1,protein,protein shake,,,supplement,vague,4,,,
mojito,,moito,,b,1,alcohol,liquor,mixed,,,complete,4,,,
earl gray,,earl grey tea,earl grey,b,2,tea,earl grey,,caffeine,,incomplete,1,,,
limeade,,sweetened and diluted lime juice,,b,1,juice,fruit,,sugar added,,complete,3,,,
mccafe colombian,,coffee,,b,2,coffee,,,caffeine,,complete,3,,,
jugo verde,,green juice,green juice,b,2,juice/smoothie,,,,,incomplete,1,,,
capaccino,,cappuccino,cappuccino,b,1,"coffee, dairy",milk,,"caffeine, saturated fat",,complete,3,,,
coconutmilk,,coconut milk,coconut milk,b,1,dairy alternative,coconut,,,,complete,4,,,
shugar,,sugar,sugar,b,1,sugar,,,added sugar,,complete,2,,,
bev,,beverage,beverage,b,1,,,,,,vague,v,,,
fairlife,fairlife,brand of milk,fairlife milk,b,1,dairy,milk,,,,complete,v,,,
kahlua,kahlua,coffee-flavored liquor,,b,1,alcohol,liquor,straight,,,complete,4,,,
la croax,la croix,sparkling water,,b,2,sparkling water,flavored carbonated water,,,,complete,4,,,
chianti,,wine,,b,1,alcohol,wine,,,,complete,3,,,
ayran,,yogurt-based beverage,,b,1,dairy,yogurt,,,,complete,3,,,
manzanilla,manzanilla,wine,,b,1,alcohol,wine,,,,complete,3,,,
keffir,,fermented milk drink,kefir,b,1,dairy,milk,,"saturated, fermented",,complete,3,,,
bipro,bipro,protein powder,,b,1,protein powder,,,amino acids,supplement,complete,4,,,
tisane,,herbal tea,,b,1,tea ,herbal,,,,incomplete,1,,,
ultima,ultima,water additive/sports drink,,b,1,sports drink,water additive ,,"electrolytes, stevia",supplement,incomplete,4,,,
topo chico,topo chico,sparkling water brand,,b,2,sparkling water,plain mineral water,,,,complete,4,,,
kfir,,fermented milk drink,kefir ,b,1,dairy,milk,,fermented,,complete,3,,,
darjeeling,,type of tea,,b,1,tea,black,,,,incomplete,1,,,
kool aid,kool aid,brand of sugar drink,,b,2,other,,,"artificial sweetener, added sugar",,incomplete,4,,,
london fog,,tea with milk,,b,2,"tea, dairy","black, milk",,,,incomplete,3,,,
isopure,isopure,protein powder,,b,1,other,protein powder,,,supplement,incomplete,4,,,
negroni,,italian cocktail,,b,1,alcohol,liquor,mixed,,,incomplete,4,,,
zinfandel,,"zinfandel, wine",,b,1,alcohol,wine,,,,complete,3,,,
hibiscus,,hibiscus herbal tea,,b,1,tea,herbal,,,,complete,1,,,
puerh,,chinese tea,pu'er,b,1,tea,other,,caffeine,,complete,1,,,
cidre,,cider,,b,1,alcohol,cider,,,,complete,3,,,
milkand bsugar,,milk and sugar,milk and sugar,b,2,dairy,milk,,"added sugar, saturated fat",,complete,3,,,
dymatize iso,dymatize,protein powder,,b,2,protein,protein powder,,,supplement,complete,4,,,
stevia monkfruit,,stevia & monkfruit,,b,2,other,artificial sweeteners,,artificial sweeteners,,complete,4,,,
sherry,,sherry,,b,1,alcohol,wine,,fermented,,complete,3,,,
port,,port,,b,1,alcohol,wine,,fermented,,complete,3,,,
coffeemate,coffee-mate,creamer,,b,1,dairy alternative,creamer,,added sugar,,complete,4,,,
crystalliteraspberrygreen,crystal lite,flavored water,,b,1,sports drink,,,artifical sweetener,,complete,4,,,
slushy,,sweetned iced beverage,,b,1,other,,,"added sugar, artificial flavors",,complete,4,,,
milo,milo,chocolate powder mixed with milk or water,,b,1,other,,,added sugar,,incomplete,4,,,
miller lite,coors,beer,,b,2,alcohol,beer,,fermented,,complete,3,,,
isalean,isagenix,meal replacement shake,,b,1,other,shake,,,supplement,incomplete,4,,,
rockstar,rockstar,energy drink,,b,1,energy drink,,,"added sugar, caffeine",,complete,4,,,
pom,pom,pomegranate juice,,b,1,juice/smoothie,fruit,,,,incomplete,1,,,
bullion,,bouillon broth,bouillon,b,1,other,broth,,high sodium,,incomplete,3,,,
zip fizz,zipfizz,energy drink,,b,2,energy drink,,,caffeine,,complete,4,,,
bouillon,,bouillon broth,,b,1,other,broth,,high sodium,,incomplete,3,,,
limoncello,,italian lemon liquor,,b,1,alcohol,liquor,,fermented,,complete,4,,,
assam,,assam tea,,b,1,tea,black,,caffeine,,incomplete,1,,,
kickstart,mountain dew,energy drink,,b,1,energy drink,,,"added sugar, caffeine",,complete,4,,,
alc,,alcohol,alcohol,b,1,alcohol,,,,,incomplete,v,,,
koolaid,kool-aid,fruit juice,,b,1,juice/smoothie,fruit,,"added sugar, highly procesed",,complete,4,,,
amaretto,,sweet italian liquor,,b,1,alcohol,liquor,,fermented,,complete,4,,,
jaggery,,unrefined sugar,,b,1,other,sugar,,added sugar,,complete,2,,,
teabag,,tea bag,,b,1,tea,,,,,incomplete,1,,,
hibiscus rose hip infusion,,herbal tea,,b,4,tea,herbal,,,,complete,1,,,
au lait,,coffee with steamed milk,,b,2,"coffee, dairy",milk,,"caffeine, saturated fat",,complete,1,,,
brut rose,,brut rose,,b,2,alcohol,wine,,fermented,,complete,3,,,
hibiskus,,hibiscus tea,,b,1,tea,herbal,,,,complete,1,,,
robois,,rooibos,rooibos,b,1,tea,herbal,,,,complete,1,,,
yakult,yakult,japanese sweetened probiotic milk beverage ,,b,1,dairy,milk,,fermented,,complete,4,,,
bouillon,,bouillon,,b,1,other,broth,,high sodium,,incomplete,3,,,
malk,malk,nut milk,,b,1,dairy alternative,nut,,,,complete,4,,,
fanta,fanta,soda,,b,1,soda,,,added sugar,,complete,4,,,
sunkist,sunkist,soda,,b,1,soda,,,added sugar,,incomplete,4,,,
redbush,,rooibos,,b,1,tea,herbal,,,,complete,1,,,another word for rooibos
suga,,sugar,sugar,b,1,other,raw sugar,,added sugar,,complete,2,,,
stout,,stout,stout,b,1,alcohol,beer,,fermented,,complete,3,,,
realemon,realemon,lemon juice,,b,1,juice/smoothie,fruit,,added sugar,,complete,1,,,
frappe,,coffee with milk,,b,1,"coffee, dairy",milk,,"saturated fat, added sugar",,complete,4,,,
flavoured coconutwater kefir,,flavored coconut water kefir,flavored coconut water kefir,b,3,"juice/smoothie, other","fruit, grains",,additive,,incomplete,3,,,
ovaltine,ovaltine,"milk flavoring product, malt drink mix",,b,1,other ,milk,,added sugar,,incomplete,4,,,
limonata,,,,b,1,,,,,,vague,4,,,
cosmopolitan,,"cocktail, vodka with cranberry juice",,b,1,"alcohol, juice/smoothie","liquor, fruit",mixed,added sugar,,incomplete,4,,,
nutpod,nutpod,dairy free coffee creamer,,b,1,dairy alternative,"nut (almond), coconut, creamer",,,,incomplete,4,,,
hershey lite,,"chocolate syrup, low sugar",,b,2,other,syrup,chocolate,added sugar,dessert,incomplete,4,,,
blk stevia,,natural 0 calorie sweetener,stevia,b,2,other,sweetener,,,,incomplete,4,,,
bigelow jasmine,bigelow jasmine,jasmine tea,,b,2,tea,green,,,,complete,1,,,
oolongcha,,oolong tea,,b,1,tea,oolong,,caffeine,,incomplete,1,,,
canderel artificial,,artificial sweetener,,b,2,other,artificial sweetener,,,,complete,4,,,
erythritol,,sugar alcohol?,,b,1,other,artificial sweetener,,,,incomplete,4,,,
boba,,tea drink with tapioca balls,,b,1,"tea, other",,,"caffeine, added sugar",dessert,incomplete,4,,,
bodykey,,meal replacement,,b,1,other,meal replacement,,,,incomplete,4,,,
molk,jocko,protein drink,,b,1,protein,protein shake,,,supplement,complete,4,,,
ensure,ensure,nutrition drinks and shakes,,b,1,,,,,,vague,4,,,
wegmans lite,wegmans,grocery store?,,b,2,,,,,,vague,v,,,
crystal lite,crystal light,powdered beverage mix,,b,2,other,water additive,,added sugar,,incomplete,4,,,
actimel danone,actimel danone,probiotic yogurt drink,,b,2,dairy,yogurt,,fermented,,incomplete,4,,,
actimel,actimel,probiotic yogurt drink,,b,1,dairy,yogurt,,fermented,,incomplete,4,,,
supermix,isagenix,supermix,,b,1,,,,,supplement,incomplete,v,,,
nesquick,nesquik,chocolate milk,nesquik,b,1,other,cocoa,,added sugar,,incomplete,4,,,
ample k calorie,ample k,keto meal replacement shake,,b,3,other,meal replacement,,saturated fat,,incomplete,4,,,
shakeology,shakeology,protein shake with supplements,,b,1,protein,protein shake,,,supplement,incomplete,4,,,
caffine,,caffeine,caffeine,b,1,,,,,,vague,v,,,
wheatgrass,,grass blended into a drink,,b,1,juice/smoothie,vegetable,,,,incomplete,1,,,"wheatgrass is frequently used in smoothies, or even blended to drink as a shot"
basalmic,,type of vinegar,balsamic,f,1,other,vinegar,,,dressing,complete,2,,,
vinager,,vinegar,vinegar,f,1,other,vinegar,,,dressing,complete,2,,,
fage total,fage,greek yogurt,,f,2,dairy,yogurt,,,,complete,1,,,
lifesaver,lifesaver,candy,,f,1,dessert/sweet,candy,,"added sugar, highly processed",,complete,4,,,
lucky charm,lucky charms,cereal,lucky charms,f,2,grain,cereal,,"added sugar, highly processed",,complete,4,,,
cannoli,,italian dessert - pastry sheel with cream center,,f,1,"grain, dairy, dessert/sweet treat",,,"saturated fat, added sugar",,complete,4,,,
starburst,starburst,fruit candy,,f,1,dessert/sweet treat,candy,,"added sugar, artifical flavors",,complete,4,,,
milky way,milky way,chocolate candy bar,,f,2,dessert/sweet treat,chocolate,,"added sugar, artifical flavors, saturated fat",,,4,,,
kerry gold,kerigold,butter,kerigold butter,f,2,dairy,butter,,saturated fat,,complete,2,,,
monkfruit,,natural sweetener,,f,1,other,,,sweetener,,vague,2,,,
suger,,sugar,sugar ,f,1,other,,,added sugar,,complete,2,,,
florida crystal demerara sugar,,type of sugar,florida crystal demerara sugar,f,4,other,,,added sugar,,complete,2,,,
suga,,sugar,sugar,f,1,other,,,added sugar,,complete,2,,,
pack pyure,pyure,brand that makes stevia ,,f,2,other,,,"sweetener, stevia",,complete,2,,,
thyme,,herb,,f,1,other,spice,,,,complete,1,,,
strwbery,,strawberry,strawberry,f,1,fruit,berry,,,,complete,1,,,
biltong,,dried meat (various animals),,f,1,protein,misc meat,,saturated fat,,incomplete,3,,https://en.wikipedia.org/wiki/biltong,
mayvers,mayvers,peanut butter,,f,1,nuts,peanut,,"highly processed, unsaturated fat", spread,complete,3,,,
chicharones,,fried meat - spanish dish,chicharrón,f,1,protein,misc meat,,"fried, saturated fat",,incomplete,4,,https://en.wikipedia.org/wiki/chicharr%c3%b3n,
rabe,,broccoli rabe,broccoli rabe,f,1,broccoli rabe,vegetable,,,,complete,1,,,
meusli,,"cold oatmeal, usually with nuts, seeds, and dried fruit",,f,1,"grain, nut, seeds",oats,,,,complete,1,,,
mortadella,,italian sausage,,f,1,sausage,meat,pork,,,complete,4,,,
hummous,,alternate spelling of hummus,hummus,f,1,protein,legumes,chickpeas,,,complete,3,,,
gooseberry,,"fruit, looks kinda like a grape",,f,1,fruit,,,,,complete,1,,,
silverbeet,,chard vegetable,,f,1,vegetable,leafy,,,,complete,1,,,
zoodles,,zuchini noodles,,f,1,vegetable,,,,,complete,1,,,
krispies,,puffed rice cereal,rice crispies,f,1,grain,rice,,added sugar,,incomplete,4,,,
huevos rancheros,,fried eggs on corn tortillas with salsa,,f,2,"grain, protein","corn, legume, eggs",bean,,,incomplete,4,,,
kim chi,,korean fermented cabbage,kimchi,f,2,vegetable,leafy,,fermented,,incomplete,3,,,
soybean,,soybean,,f,1,protein,legume,bean,,,complete,1,,,
yoghourt,,yogurt,yogurt,f,1,dairy,yogurt,,fermented,,incomplete,1,,,
kumquat,,kumquat,,f,1,fruit,stone fruit,,,,complete,1,,,
smores,,graham cracker with chocolate and marshmallow,,f,1,"dessert/sweet treat, grain","wheat, chocolate",,"added sugar, saturated fat",,incomplete,4,,,
lurpak,lurpak,danish brand of butter ,,f,1,dairy,butter,,saturated fat ,spread,complete,2,,,
marzipan,,confection made of sugar and almond meal,,f,1,"nut, dessert/sweet treat","candy, almond",,added sugar,,incomplete,4,,,
toblerone,toblerone,chocolate bar with honey and almond nougat,,f,1,dessert/sweet treat,chocolate,,"added sugar, saturated fat",,incomplete,4,,,
tootsie,tootsie,chocolate-flavored taffy-like candy,tootsie roll,f,1,dessert/sweet treat,"candy, chocolate",,added sugar,,incomplete,4,,,
lychee,,lychee,,f,1,fruit,stone fruit,,,,complete,1,,,
domino,dominos,pizza,,f,1,"grain, protein, fruit, dairy","wheat, cheese",,"saturated fat, high sodium",sauce,complete,4,,,
icing,,sugar topping ,,f,1,dessert/sweet treat,,,added sugar,,incomplete,4,,,
sabji,,vegetable dish,,f,1,vegetable,root,,,,complete,3,,,
saffron,,saffron,,f,1,other,spice,,,,complete,1,,,
noosa,noosa,yogurt,,f,1,dairy,yogurt,,fermented,,complete,3,,,
rise,,rice,rice,f,1,grain,rice,,,,complete,1,,,
harissa,,hot chili pepper paste,,f,1,fruit,pepper,,,paste,complete,3,,,
laughing cow,laughing cow,cheese products,,f,2,dairy,cheese,,saturated fat,,complete,3,,,
souffle,,baked egg-based pancake,,f,1,"protein, dairy","eggs, butter, milk, cream",,saturated fat,,complete,4,,,
krispy treat,,rice krispie treat,rice krispie treat,f,2,grain,cereal,,"added sugar, additive",,complete,4,,,
canteloupe,,cantaloupe,cantaloupe,f,1,fruit,,,,,complete,1,,,
basmati,,basmati rice,basmati rice,f,1,grain,rice,,,,complete,1,,,
cool whip,cool whip,imitation whipped cream topping,,f,2,dairy,"milk, cream",skim,saturated fat,,complete,4,,,
liquorice,,candy,licorice,f,1,other,plant,,,,incomplete,4,,,
chocholate,,chocolate,chocolate,f,1,dessert/sweet treat,chocolate,,"added sugar, highly processed",,complete,4,,,
popeyes,popeyes,fried chicken fast food restaurant,,f,1,,,,,,vague,4,,,
kim chee,,korean fermented cabbage,kimchi,f,2,vegetable,,,fermented,,complete,3,,,
oliveoil,,olive oil,olive oil,f,1,other,oil,,,,complete,2,,,
fenugreek,,fenugreek,,f,1,other,plant,,,,complete,1,,,
perogies,,filled dumplings,,f,1,grain,wheat,,,,incomplete,3,,,
adobo,,"protein dish, can be chicken, beef, or pork",,f,1,protein,,,high sodium,,incomplete,3,,,
jogurt,,yogurt,yogurt,f,1,dairy,yogurt,,fermented,,complete,1,,,
power crunch,power crunch,protein bars,,f,2,protein,bar,,,supplement,complete,4,,,
nougat,,nougat,,f,1,"dessert/sweet treat, nut",candy,,"added sugar, highly processed",,complete,4,,,
yucca,,yucca,,f,1,other,plant,,,,complete,1,,,
promgrenate,,pomegranate,pomegranate,f,1,fruit,,,,,complete,1,,,
rocky road,,rocky road ice cream,rocky road ice cream,f,2,dairy,ice cream,,"added sugar, additive",,complete,4,,,
snapper,,snapper,,f,1,protein,seafood,fish,,,complete,3,,,
katsu,,japanese dish of fried protein made with panko bread crumbs,,f,1,,,,fried,,vague,3,,,
pasty,,empanada with cheese and protein,,f,1,"grain, dairy, protein","wheat, cheese",,saturated fat,,incomplete,3,,,
bok choi,,bok choy,bok choy,f,2,vegetable,,,,,complete,1,,,
barbacoa,,slow cooked meat,,f,1,protein,red meat,,saturated fat,,incomplete,3,,,
figues,,"french for ""fig""",,f,1,other,flower,,,,complete,1,,,
broadbeans,,broad beans,broad beans,f,1,protein,legume,bean,,,complete,1,,,
upma,,porridge from semolina or rice flour,,f,1,grain,,,,,incomplete,3,,,
bluberries,,blueberries,blueberries,f,1,fruit,berry,,,,complete,1,,,
mutton,,meat of mature sheep,,f,1,protein,red meat,sheep,saturated fat,,complete,3,,,
moong,,mung bean,mung bean,f,1,protein,legume,bean,,,complete,1,,,
salame,,salami,salami,f,1,protein,pork,,"saturated, high sodium, highly processed",,complete,3,,,
bulgar,,cereal grain made from wheat,bulgur,f,1,grain,wheat,,,,complete,1,,,
coconutoil,,coconut oil,coconut oil,f,1,other,oil,,saturated fat,,complete,2,,,
leak,,leek,leek,f,1,vegetable,,,,,complete,1,,,
tomate,,tomato,tomato,f,1,fruit,,,,,complete,1,,,
advocado,,avocado,avocado,f,1,fruit,berry,,,,complete,1,,,
pumpkinseed,,pumpkin seed,pumpkin seed,f,1,seed,,,,,complete,1,,,
jalape√±o,,jalapeno,jalapeno,f,1,fruit,,,,,complete,1,,,
banan,,banana,banana,f,1,fruit,,,,,complete,1,,,
ryebread,,rye bread,rye bread,f,1,grain,wheat,,,,complete,4,,,
mozzerella,,mozzarella,mozzarella,f,1,dairy,cheese,,saturated fat,,complete,3,,,
beens,,beans,beans,f,1,protein,legume,bean,,,complete,1,,,
hake,,fish,,f,1,protein,seafood,fish,,,complete,3,,,
rosti,,potato pancake,,f,1,"vegetable, dairy",butter,,saturated fat,,complete,3,,,
physalis,,physalis,,f,1,other,plant,,,,complete,1,,,
bamboo,,plant,,f,1,other,plant,,,,complete,1,,,
halva,,"confection made with tahini (sesame seed paste), sugar, spices and nuts",,f,1,dessert/sweet treat,candy,,"added sugar, highly processed",,complete,4,,,
cannelloni,,cylindrical lasagna,,f,1,"grain, protein, dairy","wheat, cheese",,saturated fat,,complete,3,,,
cheesesteak,,cheesesteak sandwich,,f,1,"grain, protein, dairy","wheat, red meat, cheese",beef,saturated fat,,complete,4,,,
ajonjoli,,"spanish for ""sesame""",,f,1,seed,sesame,,,,incomplete,1,,,
catsup,,ketchup,,f,1,fruit,tomato,,"highly processed, added sugar",sauce,complete,4,,,
rockmelon,,cantaloupe,cantaloupe,f,1,fruit,,,,,complete,1,,,
oxtail,,oxtail,,f,1,protein,red meat,beef,saturated fat,,complete,3,,,
tamarillo,,tamarillo,,f,1,fruit,,,,,complete,1,,,
hippeas,hippeas,chickpea puffs,,f,1,protein,legume,pea,highly processed,,complete,4,,,
chicharron,,pork rinds,,f,1,protein,pork,,"highly processed, saturated fat",,complete,4,,,
cornmeal,,ground up dried corn,,f,1,grain,corn,,,,complete,2,,,
pak choi,,bok choy,bok choy,f,2,vegetable,,,,,complete,1,,,
burrata,,type of fresh mozarella,,f,1,dairy,cheese,,saturated fat,,complete,3,,,
chilies,,chilies,,f,1,fruit,,,,,complete,1,,,
asperagus,,vegetable,asparagus,f,1,vegetable,,,,,complete,1,,,
raisens,,dried grapes,raisins,f,1,fruit,,,dried,,complete,1,,,
rasberry,,raspberry,raspberry,f,1,fruits,berry,,,,complete,1,,,
frie,,fries,fries,f,1,vegetable,,,"saturated fat, highly processed, high sodium, fried",,complete,4,,,
iogurt,,portugese spelling of yogurt,yogurt,f,1,dairy,yogurt,,,,complete,1,,,
beans,,beans,,f,1,protein,legume,bean,,,incomplete,1,,,
jalepenos,,pepper,jalapenos,f,1,fruit,,,,,complete,1,,,
torta,,meat and toppings on a tortilla,,f,1,"protein, grain, vegetable, fruit, dairy","wheat, cheese, leafy vegetables",,saturated fat,,complete,3,,,
cinammon,,spice,,f,1,other,spice,,,,complete,2,,,
deer,,deer,,f,1,protein,red meat,deer,,,complete,3,,,
mellon,,fruit,melon,f,1,fruit,melon,,,,complete,1,,,
pan dulce,,mexican sweet bread,,f,2,grain,wheat,,added sugar,,complete,4,,,
chokolate,,chocolate,chocolate,f,1,other,chocolate,,,,complete,4,,,
monterey jack,,semi-hard cheese,,f,2,dairy,cheese,,saturated fat,,complete,3,,,
onions,,onion,,f,1,vegetable,root,,,,complete,1,,,
creamcheese,,soft cheese,cream cheese,f,1,dairy,cheese,,saturated fat,,complete,4,,,
sour kraut,,fermented cabbage,sauerkraut,f,2,vegetable,,,fermented,,complete,3,,,
reeces,reese's,peanut butter chocolate,,f,1,dessert/sweet treat,chocolate,,"added sugar, highly processed",,complete,4,,,
dunkin,dunkin,donuts,,f,1,"grain, dessert/sweet treat","wheat, baked good",,added sugar,,complete,4,,,
sweetpotato,,sweet potato,sweet potato,f,1,vegetable,root,,,,complete,1,,,
banh mi,,vietnamese sandwich,,f,2,"grain, protein, vegetable",wheat,,,,incomplete,3,,,
carrott,,carrot,carrot,f,1,vegetable,root,,,,complete,1,,,
felafel,,fried chickpea patties,falafel,f,1,protein,legume,chickpea,saturated fat,,complete,3,,,
sunchips,sun chips,chips,,f,1,grain,chips,,highly processed,,complete,4,,,
sauer kraut,,fermented cabbage,sauerkraut,f,2,vegetable,leafy vegetable,,fermented,,complete,3,,,
shin,shin,instant ramen,,f,1,grain,wheat,,"high sodium, highly processed",,complete,4,,,
cellery,,vegetable,celery,f,1,vegetable,,,,,complete,1,,,
tagliatelle,,tagliatelle,,f,1,grain,wheat,,,,complete,1,,,
whitefish,,fish,,f,1,protein,seafood,fish,,,complete,3,,,
ny strip,,steak,,f,2,protein,red meat,beef,saturated fat,,complete,3,,,
breas,,,breast,f,1,protein,poultry,chicken,,,complete,3,,,
blackcurrant,,berry,,f,1,fruit,,,,,complete,1,,,
wiener,,sausage,,f,1,protein,"red meat, pork",beef,"saturated fat, high sodium, highly processed",,complete,4,,,
pinwheel,,rolled sandwich,,f,1,"grain, dairy","wheat, cheese",,,,incomplete,3,,,
tapatio,tapatio,hot sauce brand,,f,1,other,sauce,,,sauce,complete,4,,,
meunster,,semi-soft cheese,,f,1,dairy,cheese,,saturated fat,,complete,3,,,
crakers,,crackers,crackers,f,1,grain,wheat,,,,incomplete,4,,,
brocolis,,broccolis,broccolis,f,1,vegetable,,,,,complete,1,,,
fries,,fried potatoes,,f,1,vegetable,potato,,"saturated fat, high sodium, highly processed",,complete,4,,,
quacamole,,guacamole,guacamole,f,1,fruit,,,,dip,complete,3,,,
soyabean,,soybean,soybean,f,1,protein,legume,bean,,,complete,1,,,
macha,,matcha,matcha,f,1,tea,green,,,,complete,1,,,
brokkoli,,broccoli,broccoli,f,1,vegetable,,,,,complete,1,,,
appl,,apple,apple,f,1,fruit,,,,,complete,1,,,
spinnach,,spinach,spinach,f,1,vegetable,leafy,,,,complete,1,,,
pistache,,pistachio,pistachio,f,1,nut,,,,,complete,1,,,
aspargus,,asparagus,asparagus,f,1,vegetable,,,,,complete,1,,,
desseets,,desserts,desserts,f,1,dessert/sweet treat,,,,,incomplete,4,,,
almon,,almond,almond,f,1,nut,almond,,,,complete,1,,,
mandioca,,"cassava, starchy plant",,f,1,vegetable,root,,,,complete,1,,https://www.google.com/search?q=mandioca&oq=mandioca&aqs=chrome..69i57.728j0j1&sourceid=chrome&ie=utf-8,
vada,,indian savory fried snack,,f,1,"grain, dessert/sweet treat","wheat, baked good",,"saturated fat, fried",,complete,3,,,
farofa,,brazilian dish with cassava flour,,f,1,"vegetable, dessert/sweet treat",cassava,,,,complete,3,,,
yogart,,yogurt,yogurt,f,1,dairy,yogurt,,fermented,,complete,1,,,
sourcream,,sour cream,sour cream,f,1,dairy,cream,,saturated fat,,complete,3,,,
peper,,pepper,pepper,f,1,,,,,,vague,1,,,
crimini,,type of mushroom,cremini,f,1,vegetable,mushroom,,,,complete,1,,,
avacardo,,avocado,avocado,f,1,fruit,berry,,,,complete,1,,,
yogurth,,yogurt,yogurt,f,1,dairy,yogurt,,,,complete,1,,,
cinnemon,,cinnamon,cinnamon,f,1,other,spice,,,,complete,2,,,
book choy,,bok choy,bok choy,f,2,vegetable,leafy,,,,complete,1,,,
mayonaisse,,mayonnaise,mayonnaise,f,1,dairy,mayo,,saturated fat,,complete,4,,,
godiva,godiva,chocolate,,f,1,dessert/sweet treat,chocolate,,added sugar,,complete,4,,,
barramundi,,asian sea bass,,f,1,protein,seafood,fish,,,complete,3,,,
chow fun,,chinese stiry fry with beef and noodles,,f,2,"grain, protein, vegetable","wheat, red meat",beef,,,complete,3,,,
break fast,,breakfast,breakfast,f,2,,,,,,vague,v,,,
barukas,,brazilian nuts,,f,1,nuts,,,unsaturated fat,,complete,1,,https://www.google.com/search?q=barukas&oq=barukas&aqs=chrome..69i57.1015j0j1&sourceid=chrome&ie=utf-8,
noodles,,noodles,,f,1,grain,wheat,,,,complete,1,,,
sprea,,spread,spread,f,1,,,,,spread,vague,v,,,
monterrey jack,,monterey jack,monterey jack,f,2,dairy,cheese,,,,complete,3,,,
bluberry,,blueberry,blueberry,f,1,fruit,berry,,,,complete,1,,,
homefries,,homemade fries,home fries,f,1,vegetable,potato,,"high sodium, saturated fat",,complete,3,,,
caju,,brazilian tropical fruit?,,f,1,fruit,,,,,vague,1,,,
tocino,,filipino dish,,f,1,protein,,,,,incomplete,3,,,
birria,,mexican stew meat,,f,1,protein,,,,,incomplete,3,,,
goatchees,,goat cheese,goat cheese,f,1,dairy,cheese,,,,complete,3,,,
souce,,,sauce?,f,1,,,,,,vague,v,,,
peppe,,pepper,pepper,f,1,other,spice,,,,vague,1,,,
wagyu,,beef,,f,1,protein,red meat,beef,,,complete,3,,,
tunafish,,tuna,tuna,f,1,protein,seafood,fish,,,complete,3,,,
broccholi,,broccoli,broccoli,f,1,vegetable,,,,,complete,1,,,
sirracha,,hot sauce,sriracha,f,1,other,hot sauce,,,sauce,complete,4,,,
jalape,,jalapeno,jalapeno,f,1,vegetable,,,,,complete,1,,,
ementaler,,type of cheese,,f,1,dairy,cheese,,saturated fat,,complete,3,,,
hotpot,,chinese soup with meat and vegetables,,f,1,"protein, vegetable, other",soup,,high sodium,,incomplete,3,,,
rendang,,indonesian coconut beef stew,,f,1,protein,red meat,beef,saturated fat,,complete,3,,,
palm heart,,vegetable harvested from palm treea,heart of palm,f,2,vegetable,,,,,complete,1,,,
sinigang,,filipino soup with meat,,f,1,"protein, vegetable, other",soup,,,,incomplete,3,,,
peperoni,,pepperoni,pepperoni,f,1,protein,"red meat, pork",,"saturated fat, high sodium, highly processed",,complete,4,,,
mayonese,,mayonnaise,mayonnaise,f,1,dairy,mayo,,saturated fat,,complete,4,,,
brocollini,,broccolini,broccolini,f,1,vegetable,,,,,complete,1,,,
chesnuts,,chestnuts,chestnuts,f,1,nut,,,,,complete,1,,,
penut,,peanut,peanut,f,1,nut,,,,,complete,1,,,
lemmon,,lemon,lemon,f,1,fruit,,,,,complete,1,,,
strawberies,,strawberries,strawberries,f,1,fruit,,,,,complete,1,,,
star anise,,spice,,f,2,other,spice,,,,complete,2,,,
vegatable,,vegetable,vegetable,f,1,vegetable,,,,,complete,1,,,
raspberrie,,raspberry,raspberry,f,1,fruit,berry,,,,complete,1,,,
persimon,,persimmon,persimmon,f,1,fruit,,,,,complete,1,,,
casserol,,casserole,casserole,f,1,,,,,,vague,3,,,
parsely,,parsley,parsley,f,1,other,herb,,,,complete,1,,,
blueberr,,blueberry,blueberry,f,1,fruit,berry,,,,complete,1,,,
parmezan,,parmesan,parmesan,f,1,dairy,cheese,,saturated fat,,complete,3,,,
carot,,carrot,carrot,f,1,vegetable,root,,,,complete,1,,,
baco,,bacon,bacon,f,1,protein,pork,,"saturated fat, highly processe,d high sodium",,complete,4,,,
strawb,,strawberry,strawberry,f,1,fruit,berry,,,,complete,1,,,
himalsalt,,himalayan salt,himalayan salt,f,1,other,salt,,,seasoning,complete,2,,,
sopapilla,,mexican bread,,f,1,grain,wheat,,"fried, added sugar",,complete,3,,,
pig,,pig,,f,1,protein,pork,,,,incomplete,3,,,
kringle,,type of danish,,f,1,dessert/sweet,baked good,,"saturaed fat, added sugar",,complete,4,,,
samon,,salmon,salmon,f,1,protein,fish,,,,complete,3,,,
