gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,equivalent,reference,comment
coffee honey almond milk,,coffee with honey and almond milk,,b,4,"coffee, dairy alternative",nut,,"caffeine, added sugar",,complete,4,,,
bullet prof decaf coffee,bulletproof,keto coffee,bulletproof coffee,b,4,"coffee, dairy",butter,,"additive, caffeine, saturated fat",,complete,3,"bullet proof, bulletproof, bulletproof coffee",,
powder scoop coconut water,,protein powder with coconut water,,b,4,"protein, juice/smoothie","fruit, protein powder",,,supplement,complete,4,,,
iced coffee maple syrup,,coffee with maple syrup,coffee with maple syrup,b,4,"coffee, other",syrup,,caffeine,,complete,3,,,
one cup black coffee,,coffee,coffee,"modifier, b",4,coffee,,,caffeine,,complete,1,,,
coconut milk mocha coffee,,mocha with coconut milk,,b,4,"coffee, dairy alternative",coconut,,caffeine,,complete,4,,,
coffee tblsp grass fed butter,,coffee with butter,coffee with butter,"b, modifier",5,"coffee, dairy",butter,,"caffeine, saturated fat",,complete,3,,,
coconut water thorne protein powder,thorne,protein powder with coconut water,,b,5,"protein, juice/smoothie","protein powder, fruit",,,supplement,complete,4,,,
iced coffee laird creamer tablespoon,,coffee with superofod creamer,coffee with superofod creamer,"b, modifier",5,"coffee, dairy alternative",creamer,,"caffeine, artificial sweetener",,complete,4,,,
cold brew coffee almond milk,,cold brew with almond milk,cold brew with almond milk,b,5,"coffee, dairy laternative",nut,,caffeine,,complete,4,,,
black coffee tbsp brain oct,,coffee with brain octane oil,coffee with brain octane oil,b,5,coffee,,,"caffeine, additive",supplement,complete,3,,,
coffee half half raw sugar,,coffee with half and half and raw sugar,coffee with half and half and raw sugar,b,5,"coffee, dairy, other","half and half, raw sugar",,"caffeine, additive",,complete,3,,,
small cup coffee almond crea,,coffee with almond creamer,coffee with almond creamer,"modifier, b",5,"coffee, dairy alternative",creamer,,caffeine,,complete,4,,,
organic coffee honey almond milk,,coffee with honey and almond milk,coffee with honey and almond milk,b,5,"coffee, dairy alternative, other","creamer, honey",,additive,,complete,4,,,
coffee laird creamer tablespoon maple,laird,coffee with supercreamer and maple syrup,coffee with supercreamer and maple syrup,b,5,"coffee, dairy alternative, other","creamer, syrup",,"added sugar, additive",,complete,4,,,
thorne protein powder scoop coconut,thorne,,,b,5,,,,,,vague,4,,,
