gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list
methylprednisolone,methylprednisolone,,,m,1,prescription,"inflammation, arthritis, asthma, allergy",,,,,,['prescription'],"['inflammation', 'arthritis', 'asthma', 'allergy']",,,
metoprolol,metoprolol,,,m,1,prescription,"hypertension, angina",,,beta-blocker,,,['prescription'],"['hypertension', 'angina']",,,['beta-blocker']
metronidazole,metronidazole,,,m,1,prescription,"bacterial infection, ulcer",,,,,,['prescription'],"['bacterial infection', 'ulcer']",,,
micardis,telmisartan,,,m,1,prescription,hypertension,,,ARB,,,['prescription'],['hypertension'],,,['ARB']
microgestin fe,birth control,,,m,2,prescription,contraceptive,,,,,,['prescription'],['contraceptive'],,,
midol,,,,m,1,"otc, brand","period symptoms, cramps, bloating, fatigue, water weight gain, backache",,,,,,"['otc', 'brand']","['period symptoms', 'cramps', 'bloating', 'fatigue', 'water weight gain', 'backache']",,,
migrelief,migrelief,,,m,1,supplement,migraine,,,,,,['supplement'],['migraine'],,,
milk thistle,,milk thistle,,m,2,supplement,general health,,,,,v,['supplement'],['general health'],,,
minoxidil,,,,m,1,supplement,"hepatitis, cirrhosis, jaundice, diabetes, indigestion",,,,,,['supplement'],"['hepatitis', 'cirrhosis', 'jaundice', 'diabetes', 'indigestion']",,,
miralax,,,,m,1,otc,constipation,,,,,,['otc'],['constipation'],,,
mirtazapine,mirtazapine,,,m,1,prescription,depression,,,,,,['prescription'],['depression'],,,
moclobemide,moclobemide,,,m,1,prescription,depression,,,,,,['prescription'],['depression'],,,
modafinil,modafinil,,,m,1,prescription,"narcolepsy, shift work sleep disorder",,,,,,['prescription'],"['narcolepsy', 'shift work sleep disorder']",,,
mometasone,,,,m,1,otc,"inflammation, psoriasis, eczema",mometasone furoate,,,,,['otc'],"['inflammation', 'psoriasis', 'eczema']",['mometasone furoate'],,
mometasone furoate,,,,m,2,otc,"inflammation, psoriasis, eczema",mometasone,,,,,['otc'],"['inflammation', 'psoriasis', 'eczema']",['mometasone'],,
montelukast,montelukast,,,m,1,prescription,asthma,leukotriene receptor antagonist,,,,,['prescription'],['asthma'],['leukotriene receptor antagonist'],,
motrin,ibuprofen,,,m,1,"prescription, otc","pain relief, fever",,,,,,"['prescription', 'otc']","['pain relief', 'fever']",,,
msm,,,methylsulfonylmethane,m,1,supplement,"joint pain, inflammation",,methylsulfonylmethane,,,,['supplement'],"['joint pain', 'inflammation']",,['methylsulfonylmethane'],
mucinex,,,,m,1,otc,"cold, flu, congestion",,,,,,['otc'],"['cold', 'flu', 'congestion']",,,
multi vitamin,,,,m,2,category,general health,,,,,,['category'],['general health'],,,
multi vitamin sport,,,,m,3,supplement,general health,,,,,,['supplement'],['general health'],,,
multimineral,,,,m,1,supplement,general health,,,,,,['supplement'],['general health'],,,
multivitamin,,,,m,1,category,general health,,,,,,['category'],['general health'],,,
mvi,multivitamin injection,,,m,1,prescription,general health,multivitamin injection,,,,,['prescription'],['general health'],['multivitamin injection'],,
mycocholest,,,,m,1,supplement,hypercholesterolaemia,,,,,,['supplement'],['hypercholesterolaemia'],,,
mycophenolate,mycophenolic acid,,,m,1,prescription,organ transplant,,,,,,['prescription'],['organ transplant'],,,
mydayis,dextroamphetamine,,,m,1,prescription,adhd,,,,,,['prescription'],['adhd'],,,
myo inositol,,,,m,2,supplement,"metabolic syndrome, polycystic ovary syndrome",,,,,,['supplement'],"['metabolic syndrome', 'polycystic ovary syndrome']",,,
n acetyl cysteine,,,,m,3,supplement,"cough, tylenol poisoning",,nac,,,,['supplement'],"['cough', 'tylenol poisoning']",,['nac'],
nac,,,,m,1,supplement,"cough, tylenol poisoning",,n acetyl cysteine,,,,['supplement'],"['cough', 'tylenol poisoning']",,['n acetyl cysteine'],
nacl,,,,m,1,supplement,dehydration,,salt,,,,['supplement'],['dehydration'],,['salt'],
nad,,,,m,1,supplement,general health,,,,,,['supplement'],['general health'],,,
