gram_key,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list,tag6,tag7
potassium,m,1,"prescription, otc",potassium deficiency,,,,"['prescription', 'otc']",['potassium deficiency'],,,,,
pqq,m,1,supplement,mental health,,pyrroloquinoline quinone,,['supplement'],['mental health'],,,,,
pradaxa,m,1,prescription,blood clot,,,,['prescription'],['blood clot'],,,,,
pramipexole,m,1,supplement,parkinsons disease,,,,['supplement'],['parkinsons disease'],,,['statin'],,
pravastatin,m,1,prescription,hypercholesterolaemia,,,statin,['prescription'],['hypercholesterolaemia'],['shellfish'],,,,
prebiotic,m,1,supplement,digestive health,,,,['supplement'],['digestive health'],,,,,
prebiotin,m,1,supplement,,,,,['supplement'],,,,,,
prednisolone,m,1,prescription,"inflammation, arthritis, asthma, lupus, multiple sclerosis",,,,['prescription'],"['inflammation', 'arthritis', 'asthma', 'lupus', 'multiple sclerosis']",,,,,
prednisone,m,1,prescription,"corticosteroid, multiple sclerosis, arthritis",,,,['prescription'],"['corticosteroid', 'multiple sclerosis', 'arthritis']",,,,,
pregabalin,m,1,prescription,"pain relief, diabetes, postherpetic neuralgia, fibromyalgia",,,,['prescription'],"['pain relief', 'diabetes', 'postherpetic neuralgia', 'fibromyalgia']",,,,,
pregnenolone,m,1,supplement,general health,,,,['supplement'],['general health'],,"['added sugar', 'highly processed']",['sauce'],,
premarin,m,1,prescription,menopause,,,,['prescription'],['menopause'],,['added sugar'],['supplement'],,
premphase,m,1,prescription,menopause,,,,['prescription'],['menopause'],,,,,
prempro,m,1,prescription,menopause,,,,['prescription'],['menopause'],,,,,
prenatal multivitamin,m,2,supplement,general health,,,,['supplement'],['general health'],,,,,
prenatal vitamin,m,2,supplement,general health,,,,['supplement'],['general health'],,,,,
prescription,m,1,category,general health,,,,['category'],['general health'],,,,,
preservision,m,1,brand,eye health,,,,['brand'],['eye health'],,,,,
prevacid,m,1,"prescription, otc","gerd, heartburn",,,proton pump inhibitor,"['prescription', 'otc']","['gerd', 'heartburn']",,,,,
prilosec,m,1,otc,gerd,,,,['otc'],['gerd'],,,,,
primrose oil,m,2,supplement,"premenstrual syndrome, menopause, arthritis",,,,['supplement'],"['premenstrual syndrome', 'menopause', 'arthritis']",['root'],,"[' high sodium', 'highly processed']",,
pristiq,m,1,prescription,depression,,,,['prescription'],['depression'],,,,,
probiona,m,1,brand,digestive health,,,,['brand'],['digestive health'],,,,,
probiotic,m,1,category,digestive health,,,,['category'],['digestive health'],,,,,
procapil,m,1,supplement,hair loss,,,,['supplement'],['hair loss'],,,,,
progesterone,m,1,prescription,"regulate menstrual cycle, maintain pregnancy",female hormone,,,['prescription'],"['regulate menstrual cycle', 'maintain pregnancy']",,,,,
progynova,m,1,prescription,menopause,,,,['prescription'],['menopause'],,,,,
prometrium,m,1,prescription,menopause,,,,['prescription'],['menopause'],,,,,
propafenone,m,1,prescription,arrhythmia,,,,['prescription'],['arrhythmia'],,,,,
