gram_key,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list,tag6,tag7
endive,f,1,,,,,,,,,,,,
energy ball,f,2,"dessert/sweet treat, nut, grain","chocolate, oat",,"added sugar, unsaturated fat",,"['dessert/sweet treat', 'nut', 'grain']","['chocolate', 'oat']",,"['added sugar', 'unsaturated fat']",,,
energy bar,f,2,,,,,,,,,,,,
energy gel,f,2,,,,,,,,,,,,
english muffin,f,2,grain,wheat,,high sodium,,['grain'],['wheat'],,['high sodium'],,,
enoki,f,1,vegetable,mushroom,,,,['vegetable'],['mushroom'],,,,,
enoki mushroom,f,2,,,,,,,,,,,,
entrecote,f,1,protein,red meat,beef,saturated fat,,['protein'],['red meat'],['beef'],['saturated fat'],,,
epic bar,f,2,,,,,,,,,,,,
escarole,f,1,vegetable,green,,,,['vegetable'],['green'],,,,,
evoo,f,1,other,oil,,unsaturated fat,,['other'],['oil'],,['unsaturated fat'],,,
extra virgin olive oil,f,4,other,oil,,saturated fat,,['other'],['oil'],,['saturated fat'],,,
eye round roast,f,3,,,,,,,,,,,,
ezekiel bread,f,2,grain,whole grain,,,,['grain'],['whole grain'],,,,,
fage total,f,2,dairy,yogurt,,,,['dairy'],['yogurt'],,,,,
fajita,f,1,"protein, vegetable",,,,,"['protein', 'vegetable']",,,,,,
falafel,f,1,protein,legume,bean,fried,,['protein'],['legume'],['bean'],['fried'],,,
farina,f,1,grain,wheat,,,,['grain'],['wheat'],,,,,
farofa,f,1,"vegetable, dessert/sweet treat",cassava,,,,"['vegetable', 'dessert/sweet treat']",['cassava'],,,,,
farro,f,1,grain,wheat,,,,['grain'],['wheat'],,,,,
fat bomb,f,2,"dessert/sweet treat, nut",oil,,,,"['dessert/sweet treat', 'nut']",['oil'],,,,,
fatbutter,f,1,,,,,,,,,,,,
fattoush,f,1,"grain, vegetable, fruit",wheat,,,,"['grain', 'vegetable', 'fruit']",['wheat'],,,,,
feijoa,f,1,fruit,,,,,['fruit'],,,,,,
fennel,f,1,seed,fennel seed,,,,['seed'],['fennel seed'],,,,,
fennel salad,f,2,,,,,,,,,,,,
fennel sausage,f,2,,,,,,,,,,,,
fenugreek leaf,f,2,other,herb,,,,['other'],['herb'],,,,,
ferrero rocher,f,2,dessert/sweet treat,chocolate,,"highly processed, added sugar",,['dessert/sweet treat'],['chocolate'],,"['highly processed', 'added sugar']",,,
feta,f,1,dairy,cheese,,saturated fat,,['dairy'],['cheese'],,['saturated fat'],,,
feta cheese,f,2,dairy,cheese,,saturated fat,,['dairy'],['cheese'],,['saturated fat'],,,
fettuccine,f,1,grain,wheat,,,,['grain'],['wheat'],,,,,
fettuccine alfredo,f,2,,,,,,,,,,,,
fiber one bar,f,3,grain,whole grain,,,bars,['grain'],['whole grain'],,,['bars'],,
fig,f,1,other,flower,,,,['other'],['flower'],,,,,
fig bar,f,2,"grain, fruit",,,added sugar,bars,"['grain', 'fruit']",,,['added sugar'],['bars'],,
fig jam,f,2,,,,,,,,,,,,
fig newton,f,2,,,,,,,,,,,,
fika,f,1,,,,,,,,,,,,
filet,f,1,,,,,,,,,,,,
filet mignon,f,2,protein,beef,,saturated fat,,['protein'],['beef'],,['saturated fat'],,,
filo,f,1,grain,wheat,,,,['grain'],['wheat'],,,,,
fingerling,f,1,vegetable,potato,,,,['vegetable'],['potato'],,,,,
finnish squeaky,f,2,dairy,cheese,,,,['dairy'],['cheese'],,,,,
fish,f,1,protein,seafood,fish,,,['protein'],['seafood'],['fish'],,,,
fish burrito,f,2,"grain, protein","wheat, seafood",fish,high sodium,,"['grain', 'protein']","['wheat', 'seafood']",['fish'],['high sodium'],,,
fish chip,f,2,"protein, grain, vegetable","seafood, wheat, root",fish,"saturated fat, fried, high sodium ",,"['protein', 'grain', 'vegetable']","['seafood', 'wheat', 'root']",['fish'],"['saturated fat', 'fried', 'high sodium ']",,,
fish finger,f,2,protein,seafood,fish,"saturated fat, fried",,['protein'],['seafood'],['fish'],"['saturated fat', 'fried']",,,
fish pie,f,2,"grain, protein, dairy, vegetable","wheat, seafood, butter, root",,saturated fat,,"['grain', 'protein', 'dairy', 'vegetable']","['wheat', 'seafood', 'butter', 'root']",,['saturated fat'],,,
fish sauce,f,2,,,,,,,,,,,,
fish soup,f,2,"other, protein","soup, seafood",,high sodium,,"['other', 'protein']","['soup', 'seafood']",,['high sodium'],,,
fish taco,f,2,"grain, protein","corn, seafood",fish,high sodium,,"['grain', 'protein']","['corn', 'seafood']",['fish'],['high sodium'],,,
fishcake,f,1,"grain, protein","wheat, seafood",,fried,,"['grain', 'protein']","['wheat', 'seafood']",,['fried'],,,
flackers,f,1,seed,,,"gluten-free, organic",,['seed'],,,"['gluten-free', 'organic']",,,
flan,f,1,"dairy, protein, other","milk, sugar, egg",,"added sugar, saturated fat",,"['dairy', 'protein', 'other']","['milk', 'sugar', 'egg']",,"['added sugar', 'saturated fat']",,,
flank steak,f,2,protein,red meat,beef,saturated fat,,['protein'],['red meat'],['beef'],['saturated fat'],,,
flapjack,f,1,grain,wheat,,"added sugar, saturated fat ",,['grain'],['wheat'],,"['added sugar', 'saturated fat ']",,,
flatbread,f,1,grain,wheat,,saturated fat,,['grain'],['wheat'],,['saturated fat'],,,
flax,f,1,seed,flax seed,,,,['seed'],['flax seed'],,,,,
flax meal,f,2,seed,flax,,,,['seed'],['flax'],,,,,
flaxmeal,f,1,seed,flax seed,,,,['seed'],['flax seed'],,,,,
flaxseed,f,1,,,,,,,,,,,,
florida crystal demerara sugar,f,4,other,,,added sugar,,['other'],,,['added sugar'],,,
flour,f,1,grain,wheat,,,,['grain'],['wheat'],,,,,
flour tortilla,f,2,grain,wheat,,,,['grain'],['wheat'],,,,,
focaccia,f,1,grain,baked good,,,,['grain'],['baked good'],,,,,
fondant,f,1,other,"sugar, shortening",,added sugar,,['other'],"['sugar', 'shortening']",,['added sugar'],,,
formula,f,1,,,,,,,,,,,,
frango,f,1,,,,,,,,,,,,
frankfurter,f,1,protein,"red meat, pork",beef,"saturated fat, high sodium, highly processed",,['protein'],"['red meat', 'pork']",['beef'],"['saturated fat', 'high sodium', 'highly processed']",,,
franks red hot,f,3,,,,,,,,,,,,
franks red hot hot sauce,f,5,,,,,,,,,,,,
french bread,f,2,grain,wheat,,,,['grain'],['wheat'],,,,,
french dressing,f,2,,,,,,,,,,,,
french fries,f,2,,,,,,,,,,,,
french fry,f,2,vegetable,root,,,"high sodium, fried",['vegetable'],['root'],,,"['high sodium', 'fried']",,
french onion dip,f,3,,,,,,,,,,,,
french toast,f,2,"grain, dairy","wheat, egg, milk",,saturated fat,,"['grain', 'dairy']","['wheat', 'egg', 'milk']",,['saturated fat'],,,
fried chicken,f,2,protein,poultry,chicken,"saturated fat, high sodium, fried",,['protein'],['poultry'],['chicken'],"['saturated fat', 'high sodium', 'fried']",,,
fried egg,f,2,protein,egg,,,,['protein'],['egg'],,,,,
fried fish,f,2,protein,seafood,fish,"saturated fat, fried",,['protein'],['seafood'],['fish'],"['saturated fat', 'fried']",,,
fried potato,f,2,vegetable,,,"saturated fat, fried",,['vegetable'],,,"['saturated fat', 'fried']",,,
fried rice,f,2,"grain, protein","rice, egg",,high sodium,,"['grain', 'protein']","['rice', 'egg']",,['high sodium'],,,
fries,f,1,vegetable,,,"saturated fat, highly processed, high sodium, fried",,['vegetable'],,,"['saturated fat', 'highly processed', 'high sodium', 'fried']",,,
frites,f,1,vegetable,potato,,"highly processed, saturated fat",,['vegetable'],['potato'],,"['highly processed', 'saturated fat']",,,
frito,f,1,grain,corn,,highly processed,,['grain'],['corn'],,['highly processed'],,,
fritos,f,1,grain,corn,,"fried, highly processed, saturated fat ",,['grain'],['corn'],,"['fried', 'highly processed', 'saturated fat ']",,,
frittata,f,1,,,,,,,,,,,,
fritter,f,1,grain,,,,,['grain'],,,,,,
fromage,f,1,dairy,cheese,,saturated fat,,['dairy'],['cheese'],,['saturated fat'],,,
froot loop,f,2,grain,cereal grain,,"added sugar, highly processed",,['grain'],['cereal grain'],,"['added sugar', 'highly processed']",,,
frooze ball,f,2,"fruit, nut, seed",,,,,"['fruit', 'nut', 'seed']",,,,,,
frosted flake,f,2,,,,,,,,,,,,
frosted mini wheat,f,3,grain,wheat,,,,['grain'],['wheat'],,,,,
froyo,f,1,dairy,yogurt,,fermented,,['dairy'],['yogurt'],,['fermented'],,,
frozen yogurt,f,2,dairy,yogurt,,"added sugar, fermented",,['dairy'],['yogurt'],,"['added sugar', 'fermented']",,,
fruit,f,1,fruit,,,,,['fruit'],,,,,,
fruit bowl,f,2,fruit,,,,,['fruit'],,,,,,
fruit nut bar,f,3,dessert/sweet treat,,,,,['dessert/sweet treat'],,,,,,
fruit preserves,f,2,,,,,,,,,,,,
fruit rollup,f,2,,,,,,,,,,,,
fruit salad,f,2,fruit,,,,,['fruit'],,,,,,
fruit snack,f,2,dessert/sweet treat,candy,,,,['dessert/sweet treat'],['candy'],,,,,
fruit yogurt,f,2,"dairy, fruit",yogurt,,fermented,,"['dairy', 'fruit']",['yogurt'],,['fermented'],,,
fruitcake,f,1,"grain, fruit, nut, dessert/sweet treat",wheat,,"saturated fat, unsaturated fat",,"['grain', 'fruit', 'nut', 'dessert/sweet treat']",['wheat'],,"['saturated fat', 'unsaturated fat']",,,
frukost,f,1,,,,,,,,,,,,
frutos secos,f,2,nut,,,,,['nut'],,,,,,
fry,f,1,vegetable,,,"fried, saturated fat, high sodium",,['vegetable'],,,"['fried', 'saturated fat', 'high sodium']",,,
fudge,f,1,dessert/sweet treat,"chocolate, baked goods",,,,['dessert/sweet treat'],"['chocolate', 'baked goods']",,,,,
fuji apple,f,2,,,,,,,,,,,,
fullkorn,f,1,grain,,,,,['grain'],,,,,,
funyuns,f,1,grain,corn,,"high sodium, highly processed",,['grain'],['corn'],,"['high sodium', 'highly processed']",,,
furikake,f,1,"seed, vegetable",,,dried,,"['seed', 'vegetable']",,,['dried'],,,
fusilli,f,1,grain,wheat,,,,['grain'],['wheat'],,,,,
fuyu,f,1,fruit,berry,,,,['fruit'],['berry'],,,,,
galette,f,1,grain,wheat,,,,['grain'],['wheat'],,,,,
gammon,f,1,,,,,,,,,,,,
ganache,f,1,dessert/sweet treat,chocolate,,"saturated fat, added sugar",,['dessert/sweet treat'],['chocolate'],,"['saturated fat', 'added sugar']",,,
garbanzo,f,1,protein,legume,bean,,,['protein'],['legume'],['bean'],,,,
garbanzo bean,f,2,protein,legume,bean,,,['protein'],['legume'],['bean'],,,,
garden pea,f,2,protein,legume,pea,,,['protein'],['legume'],['pea'],,,,
garden salad,f,2,vegetable,,,,,['vegetable'],,,,,,
gardettos,f,1,grain,,,highly processed,,['grain'],,,['highly processed'],,,
garlic,f,1,vegetable,,,,,['vegetable'],,,,,,
garlic bread,f,2,"grain, vegetable","wheat, root",,"saturated fat, high sodium",,"['grain', 'vegetable']","['wheat', 'root']",,"['saturated fat', 'high sodium']",,,
garlic butter,f,2,,,,,,,,,,,,
garlic dip,f,2,,,,,,,,,,,,
garlic hummus,f,2,,,,,,,,,,,,
garlic knots,f,2,,,,,,,,,,,,
garlic naan,f,2,"grain, vegetable","wheat, root",,"saturated fat, high sodium",,"['grain', 'vegetable']","['wheat', 'root']",,"['saturated fat', 'high sodium']",,,
garlic salt,f,2,,,,,,,,,,,,
garlic sauce,f,2,,,,,,,,,,,,
garlic soup,f,2,,,,,,,,,,,,
garlic spread,f,2,,,,,,,,,,,,
garlic stuffed olives,f,3,,,,,,,,,,,,
garlic toast,f,2,,,,,,,,,,,,
garri,f,1,vegetable,root,,,,['vegetable'],['root'],,,,,
gazpacho,f,1,"vegetable, fruit, other","berry, oil",,,,"['vegetable', 'fruit', 'other']","['berry', 'oil']",,,,,
gelatin,f,1,,,,,,,,,,,,
gelato,f,1,dairy,gelato,,added sugar,,['dairy'],['gelato'],,['added sugar'],,,
general tsos,f,2,protein,poultry,chicken,"high sodium, added sugar, fried",,['protein'],['poultry'],['chicken'],"['high sodium', 'added sugar', 'fried']",,,
gentle fiber,f,2,"grain, seed",oat,,,supplement,"['grain', 'seed']",['oat'],,,['supplement'],,
ghee,f,1,dairy,butter,,saturated fat,,['dairy'],['butter'],,['saturated fat'],,,
gherkin,f,1,,,,,,,,,,,,
ghirardelli,f,1,dessert/sweet treat,chocolate,,"added sugar, highly processed",,['dessert/sweet treat'],['chocolate'],,"['added sugar', 'highly processed']",,,
giardiniera,f,1,,,,,,,,,,,,
gimbap,f,1,,,,,,,,,,,,
ginger,f,1,vegetable,,,,,['vegetable'],,,,,,
ginger biscuit,f,2,,,,,,,,,,,,
ginger bread,f,2,,,,,,,,,,,,
ginger cake,f,2,,,,,,,,,,,,
ginger chew,f,2,,,,,,,,,,,,
ginger cookie,f,2,,,,,,,,,,,,
ginger root,f,2,,,,,,,,,,,,
ginger snap,f,2,,,,,,,,,,,,
gingerbread,f,1,"dessert/sweet treat, grain, protein, dairy","wheat, egg, butter",,"added sugar, saturated fat",,"['dessert/sweet treat', 'grain', 'protein', 'dairy']","['wheat', 'egg', 'butter']",,"['added sugar', 'saturated fat']",,,
gingernut,f,1,grain,wheat,,highly processed,,['grain'],['wheat'],,['highly processed'],,,
gingersnap,f,1,"grain, vegetable, dessert/sweet treat","wheat, baked good",,saturated fat,,"['grain', 'vegetable', 'dessert/sweet treat']","['wheat', 'baked good']",,['saturated fat'],,,
ginseng,f,1,vegetable,root,,,,['vegetable'],['root'],,,,,
girl scout cookie,f,3,,,,,,,,,,,,
gizzard,f,1,protein,poultry,chicken,,,['protein'],['poultry'],['chicken'],,,,
gluten cracker,f,2,grain,,,highly processed,,['grain'],,,['highly processed'],,,
gluten free bread,f,3,grain,gluten-free,,gluten free,,['grain'],['gluten-free'],,['gluten free'],,,
gnocchi,f,1,"vegetable, grain, protein","egg, root, wheat",,saturated fat,,"['vegetable', 'grain', 'protein']","['egg', 'root', 'wheat']",,['saturated fat'],,,
goat,f,1,protein,red meat,goat,,,['protein'],['red meat'],['goat'],,,,
goat cheese,f,2,dairy,cheese,,saturated fat,,['dairy'],['cheese'],,['saturated fat'],,,
gochujang,f,1,,,,,,,,,,,,
godiva,f,1,dessert/sweet treat,chocolate,,added sugar,,['dessert/sweet treat'],['chocolate'],,['added sugar'],,,
goji,f,1,fruit,berry,,,,['fruit'],['berry'],,,,,
goji berry,f,2,fruit,berry,,,,['fruit'],['berry'],,,,,
gold kiwifruit,f,2,fruit,,,,,['fruit'],,,,,,
golden berry,f,2,,,,,,,,,,,,
goldfish,f,1,grain,wheat,,highly processed,,['grain'],['wheat'],,['highly processed'],,,
goldfish cracker,f,2,grain,wheat,,highly processed,,['grain'],['wheat'],,['highly processed'],,,
gomacro,f,1,protein,,,,bars,['protein'],,,,['bars'],,
gooseberry,f,1,fruit,,,,,['fruit'],,,,,,
gorditas,f,1,grain,corn,,,,['grain'],['corn'],,,,,
gorgonzola,f,1,,,,,,,,,,,,
gouda,f,1,dairy,cheese,,saturated fat,,['dairy'],['cheese'],,['saturated fat'],,,
goujon,f,1,protein,,,fried,,['protein'],,,['fried'],,,
goulash,f,1,"protein, vegetable, grain","beef, wheat",,,,"['protein', 'vegetable', 'grain']","['beef', 'wheat']",,,,,
gourd,f,1,fruit,,,,,['fruit'],,,,,,
graham cracker,f,2,grain,wheat,,added sugar,,['grain'],['wheat'],,['added sugar'],,,
grain free granola,f,3,"nut, seed, fruit",,,,,"['nut', 'seed', 'fruit']",,,,,,
granny smith apple,f,3,fruit,,,,,['fruit'],,,,,,
granola,f,1,"grain, nut",oat,,added sugar,,"['grain', 'nut']",['oat'],,['added sugar'],,,
granola bar,f,2,grain,oat,,added sugar,bars,['grain'],['oat'],,['added sugar'],['bars'],,
granola bowl,f,2,grain,oat,,"added sugar, ",,['grain'],['oat'],,"['added sugar', '']",,,
grape,f,1,fruit,,,,,['fruit'],,,,,,
grape leaf,f,2,,,,,,,,,,,,
grape tomato,f,2,vegetable,,,,,['vegetable'],,,,,,
grapefruit,f,1,fruit,citrus,,,,['fruit'],['citrus'],,,,,
grapenuts,f,1,grain,cereal grain,,,,['grain'],['cereal grain'],,,,,
gratin,f,1,,,,,,,,,,,,
gravlax,f,1,,,,,,,,,,,,
gravy,f,1,"grain, dairy","wheat, butter",,saturated fat,,"['grain', 'dairy']","['wheat', 'butter']",,['saturated fat'],,,
greek dressing,f,2,,,,,,,,,,,,
greek salad,f,2,"dairy, vegetable",cheese,,,dressing,"['dairy', 'vegetable']",['cheese'],,,['dressing'],,
greek yogurt,f,2,dairy,yogurt,,fermented,,['dairy'],['yogurt'],,['fermented'],,,
green,f,1,,,,,,,,,,,,
green apple,f,2,fruit,,,,,['fruit'],,,,,,
green apple amino energy,f,4,,,,,,,,,,,,
green bean,f,2,vegetable,,,,,['vegetable'],,,,,,
green bean casserole,f,3,,,,,,,,,,,,
green leaf salad,f,3,,,,,,,,,,,,
green lentil,f,2,protein,legume,lentil,,,['protein'],['legume'],['lentil'],,,,
green olive,f,2,fruit,,,,,['fruit'],,,,,,
green onion,f,2,vegetable,root,,,,['vegetable'],['root'],,,,,
green onion pancake,f,3,,,,,,,,,,,,
green pea,f,2,vegetable,,,,,['vegetable'],,,,,,
green pepper,f,2,fruit,berry,,,,['fruit'],['berry'],,,,,
green pesto,f,2,,,,,,,,,,,,
green salad,f,2,vegetable,leafy,,,,['vegetable'],['leafy'],,,,,
grilled cheese,f,2,"grain, dairy","wheat, cheese",,"saturated fat, high sodium",,"['grain', 'dairy']","['wheat', 'cheese']",,"['saturated fat', 'high sodium']",,,
grilled cheese sandwich,f,3,"grain, dairy","wheat, cheese",,"saturated fat, high sodium",,"['grain', 'dairy']","['wheat', 'cheese']",,"['saturated fat', 'high sodium']",,,
grissini,f,1,grain,wheat,,,,['grain'],['wheat'],,,,,
grit,f,1,grain,whole grain,,,,['grain'],['whole grain'],,,,,
ground beef,f,2,protein,red meat,beef,saturated fat,,['protein'],['red meat'],['beef'],['saturated fat'],,,
ground turkey,f,2,protein,poultry,turkey,,,['protein'],['poultry'],['turkey'],,,,
groundnut,f,1,nut,peanut,,,,['nut'],['peanut'],,,,,
grouper,f,1,protein,seafood,fish,,,['protein'],['seafood'],['fish'],,,,
gruyere,f,1,,,,,,,,,,,,
guacamole,f,1,fruit,"citrus, berry",,,dip,['fruit'],"['citrus', 'berry']",,,['dip'],,
guava,f,1,fruit,,,,,['fruit'],,,,,,
gumbo,f,1,,,,,,,,,,,,
gummies,f,1,dessert/sweet treat,candy,,added sugars,,['dessert/sweet treat'],['candy'],,['added sugars'],,,
gummy,f,1,dessert/sweet treat,candy,,added sugars,,['dessert/sweet treat'],['candy'],,['added sugars'],,,
gummy bear,f,2,dessert/sweet treat,candy,,added sugar,,['dessert/sweet treat'],['candy'],,['added sugar'],,,
gyoza,f,1,"grain, protein, vegetable","wheat, pork, leafy",,saturated fat,,"['grain', 'protein', 'vegetable']","['wheat', 'pork', 'leafy']",,['saturated fat'],,,
gyro,f,1,"protein, grain",wheat,,,,"['protein', 'grain']",['wheat'],,,,,
haagen dazs,f,2,dairy,ice cream,,"saturated fat, added sugar",,['dairy'],['ice cream'],,"['saturated fat', 'added sugar']",,,
habanero,f,1,,,,,,,,,,,,
haddock,f,1,,,,,,,,,,,,
haggis,f,1,"grain, protein, vegetable","oat, red meat",,saturated fat,,"['grain', 'protein', 'vegetable']","['oat', 'red meat']",,['saturated fat'],,,
hake,f,1,protein,seafood,fish,,,['protein'],['seafood'],['fish'],,,,
halibut,f,1,protein,seafood,fish,,,['protein'],['seafood'],['fish'],,,,
halloumi,f,1,dairy,cheese,,fried,,['dairy'],['cheese'],,['fried'],,,
halloumi cheese,f,2,,,,,,,,,,,,
halo top,f,2,,,,,,,,,,,,
halo top ice cream,f,4,dairy,ice cream,,artificial sweetner,,['dairy'],['ice cream'],,['artificial sweetner'],,,
halva,f,1,dessert/sweet treat,candy,,"added sugar, highly processed",,['dessert/sweet treat'],['candy'],,"['added sugar', 'highly processed']",,,
halwa,f,1,,,,added sugar,,,,,['added sugar'],,,
ham,f,1,protein,pork,,"saturated fat, high sodium, highly processed",,['protein'],['pork'],,"['saturated fat', 'high sodium', 'highly processed']",,,
ham cheese sandwich,f,3,"grain, protein, dairy","wheat, pork, cheese",,"saturated fat, high sodium",,"['grain', 'protein', 'dairy']","['wheat', 'pork', 'cheese']",,"['saturated fat', 'high sodium']",,,
ham sandwich,f,2,"grain, protein","wheat, pork",,"saturated fat, high sodium",,"['grain', 'protein']","['wheat', 'pork']",,"['saturated fat', 'high sodium']",,,
hamburger,f,1,"grain, protein","wheat, red meat",beef,saturated fat,,"['grain', 'protein']","['wheat', 'red meat']",['beef'],['saturated fat'],,,
hamburger patty,f,2,protein,red meat,,saturated fat,,['protein'],['red meat'],,['saturated fat'],,,
hapa,f,1,grain,rice,,,,['grain'],['rice'],,,,,
hard boiled egg,f,3,protein,egg,,,,['protein'],['egg'],,,,,
haricot verts,f,2,vegetable,,,,,['vegetable'],,,,,,
harissa,f,1,fruit,pepper,,,paste,['fruit'],['pepper'],,,['paste'],,
hash,f,1,,,,,,,,,,,,
hash brown,f,2,vegetable,root,,"fried, saturated fat",,['vegetable'],['root'],,"['fried', 'saturated fat']",,,
havarti cheese,f,2,dairy,cheese,,,,['dairy'],['cheese'],,,,,
hazelnut,f,1,nut,,,,,['nut'],,,,,,
hazelnut spread,f,2,,,,,,,,,,,,
healright bar,f,2,,,,,,,,,,,,
heart palm,f,2,vegetable,,,,,['vegetable'],,,,,,
hemp,f,1,,,,,,,,,,,,
hemp heart,f,2,seed,hemp,,,,['seed'],['hemp'],,,,,
hemp protein,f,2,protein,,,,,['protein'],,,,,,
hemp seed,f,2,seed,hemp seed,,,,['seed'],['hemp seed'],,,,,
hempseed,f,1,seed,hemp seed,,,,['seed'],['hemp seed'],,,,,
heritage flake,f,2,grain,cereal grain,,,,['grain'],['cereal grain'],,,,,
herring,f,1,protein,seafood,fish,unsaturated fat,,['protein'],['seafood'],['fish'],['unsaturated fat'],,,
hershey bar,f,2,,,,,,,,,,,,
hershey kiss,f,2,,,,,,,,,,,,
himalayan salt,f,2,,,,,,,,,,,,
hippeas,f,1,protein,legume,pea,highly processed,,['protein'],['legume'],['pea'],['highly processed'],,,
hoagie,f,1,"grain, dairy, protein, vegetable","wheat, cheese",,"saturated fat, high sodium, highly processed",,"['grain', 'dairy', 'protein', 'vegetable']","['wheat', 'cheese']",,"['saturated fat', 'high sodium', 'highly processed']",,,
hobnob,f,1,grain,oat,,highly processed,,['grain'],['oat'],,['highly processed'],,,
hoisin,f,1,"grain, protein, nut","wheat, legume",bean,"high sodium, highly processed",sauce,"['grain', 'protein', 'nut']","['wheat', 'legume']",['bean'],"['high sodium', 'highly processed']",['sauce'],,
hollandaise,f,1,,,,,,,,,,,,
hollandaise sauce,f,2,,,,,,,,,,,,
home fries,f,2,vegetable,potato,,"high sodium, saturated fat",,['vegetable'],['potato'],,"['high sodium', 'saturated fat']",,,
hominy,f,1,fruit,,,dried,,['fruit'],,,['dried'],,,
honey bunch oat,f,3,grain,cereal grain,,added sugar,,['grain'],['cereal grain'],,['added sugar'],,,
honey bunches of oats,f,4,,,,,,,,,,,,
honey crisp apple,f,3,,,,,,,,,,,,
honey mustard,f,2,,,,,,,,,,,,
honey nut cheerio,f,3,grain,cereal grain,,added sugar,,['grain'],['cereal grain'],,['added sugar'],,,
honeycomb,f,1,other,syrup,,added sugar,,['other'],['syrup'],,['added sugar'],,,
honeycrisp,f,1,fruit,,,,,['fruit'],,,,,,
honeydew,f,1,fruit,,,,,['fruit'],,,,,,
honeydew melon,f,2,fruit,,,,,['fruit'],,,,,,
horseradish,f,1,vegetable,root,,,,['vegetable'],['root'],,,,,
hot cross bun,f,3,"grain, dairy, fruit, other","wheat, butter, milk, citrus, sugar",,"added sugar, saturated fat",,"['grain', 'dairy', 'fruit', 'other']","['wheat', 'butter', 'milk', 'citrus', 'sugar']",,"['added sugar', 'saturated fat']",,,
hot dog,f,2,"grain, protein","wheat, pork",,,condiment,"['grain', 'protein']","['wheat', 'pork']",,,['condiment'],,
hot pocket,f,2,,,,,,,,,,,,
hot pot,f,2,,,,,,,,,,,,
hot sauce,f,2,other,sauce,,high sodium,sauce,['other'],['sauce'],,['high sodium'],['sauce'],,
hot sour soup,f,3,"protein, vegetable, other","egg, soup, spice",,"high sodium, saturated fat",,"['protein', 'vegetable', 'other']","['egg', 'soup', 'spice']",,"['high sodium', 'saturated fat']",,,
huevos rancheros,f,2,"grain, protein","corn, legume, egg",bean,,,"['grain', 'protein']","['corn', 'legume', 'egg']",['bean'],,,,
hummus,f,1,protein,legume,pea,,,['protein'],['legume'],['pea'],,,,
hush puppy,f,2,,,,,,,,,,,,
ice cream,f,2,dairy,ice cream,,"added sugar, saturated fat",,['dairy'],['ice cream'],,"['added sugar', 'saturated fat']",,,
ice cream bar,f,3,dairy,ice cream,,"saturated fat, added sugar",bars,['dairy'],['ice cream'],,"['saturated fat', 'added sugar']",['bars'],,
ice cream cone,f,3,"dairy, grain","ice cream, wheat",,"saturated fat, added sugar",,"['dairy', 'grain']","['ice cream', 'wheat']",,"['saturated fat', 'added sugar']",,,
ice cream sandwich,f,3,"dessert/sweet treat, dairy",ice cream,,"saturated fat, added sugar",,"['dessert/sweet treat', 'dairy']",['ice cream'],,"['saturated fat', 'added sugar']",,,
ice lolly,f,2,,,,,,,,,,,,
iceberg lettuce,f,2,vegetable,leafy,,,,['vegetable'],['leafy'],,,,,
iceberg salad,f,2,vegetable,leafy,,,,['vegetable'],['leafy'],,,,,
icelandic skyr,f,2,dairy,yogurt,,fermented,,['dairy'],['yogurt'],,['fermented'],,,
icing,f,1,dessert/sweet treat,,,added sugar,,['dessert/sweet treat'],,,['added sugar'],,,
ideal protein triple chocolate,f,4,,,,,,,,,,,,
idli,f,1,grain,rice,,fermented,,['grain'],['rice'],,['fermented'],,,
injera,f,1,grain,wheat,,,,['grain'],['wheat'],,,,,
insalata,f,1,"vegetable, fruit",,,,dressing,"['vegetable', 'fruit']",,,,['dressing'],,
isolate vainilla protein,f,3,protein,protein powder,,amino acids,supplement,['protein'],['protein powder'],,['amino acids'],['supplement'],,
italian dressing,f,2,,,,,,,,,,,,
italian sausage,f,2,protein,pork,,saturated fat,,['protein'],['pork'],,['saturated fat'],,,
italian sub,f,2,"grain, protein","wheat, misc meat",,"saturated fat, high sodium",,"['grain', 'protein']","['wheat', 'misc meat']",,"['saturated fat', 'high sodium']",,,
ivy gourd,f,2,vegetable,,,,,['vegetable'],,,,,,
jacket potato,f,2,vegetable,root,,,,['vegetable'],['root'],,,,,
jackfruit,f,1,,,,,,,,,,,,
jalapeno,f,1,fruit,,,,,['fruit'],,,,,,
jalapeno popper,f,2,"fruit, dairy",cream cheese,,saturated fat,,"['fruit', 'dairy']",['cream cheese'],,['saturated fat'],,,
jalebi,f,1,"dessert/sweet treat, grain","baked good, wheat",,"added sugar, saturated fat, fried",,"['dessert/sweet treat', 'grain']","['baked good', 'wheat']",,"['added sugar', 'saturated fat', 'fried']",,,
jalfrezi,f,1,"protein, vegetable",,,,,"['protein', 'vegetable']",,,,,,
jam,f,1,"dessert/sweet treat, fruit",,,added sugar,condiment,"['dessert/sweet treat', 'fruit']",,,['added sugar'],['condiment'],,
jam donut,f,2,,,,,,,,,,,,
jambalaya,f,1,"protein, vegetable, grain","rice, pork",,saturated fat,,"['protein', 'vegetable', 'grain']","['rice', 'pork']",,['saturated fat'],,,
jamon iberico,f,2,,,,,,,,,,,,
japchae,f,1,,,,,,,,,,,,
jarlsberg,f,1,dairy,cheese,,saturated fat,,['dairy'],['cheese'],,['saturated fat'],,,
